feature,importance
BRL_mom_x_vix,0.028470792
JPY_mom_3m,0.027357418
AUD_ma_20,0.022399772
AUD_mom_12m_vol_adj,0.021127416
GBP_mom_x_vix,0.017430559
CAD_downside_vol,0.017252292
CAD_vol_63d,0.016831575
EUR_ma_50,0.016519392
GBP_mom_3m,0.015962526
AUD_carry_x_vol,0.015752219
CAD_rate_diff,0.015305223
GBP_carry_x_vol,0.01509171
GBP_ma_20,0.014058867
BRL_mom_12m_vol_adj,0.014024693
MXN_vol_126d,0.01390096
BRL_vol_21d,0.0138138225
JPY_price_vs_ma200,0.013653465
GBP_ma_50,0.012738586
JPY_carry_zscore,0.012703082
CAD_mom_6m,0.012241021
EUR_mom_12_1,0.011850802
CAD_price_vs_ma200,0.011574359
MXN_mom_x_vix,0.011528387
GBP_ma_200,0.011326939
equity_drawdown,0.011152715
BRL_carry_x_mom,0.011040171
MXN_ma_200,0.010842916
AUD_rate_diff,0.010717239
AUD_price_vs_ma200,0.010386595
CAD_carry_x_mom,0.010322739
GBP_mom_12m_vol_adj,0.01013742
EUR_ma_200,0.010037266
CHF_downside_vol,0.009968341
MXN_mom_3m,0.009523636
MXN_carry_x_vol,0.009296719
GBP_mom_1m,0.00908593
EUR_vol_126d,0.008935699
AUD_mom_6m_vol_adj,0.008661718
BRL_vol_of_vol,0.008607715
BRL_mom_3m_vol_adj,0.0084717795
JPY_dxy_beta,0.008460329
CHF_carry_x_mom,0.008372883
GBP_mom_6m_vol_adj,0.008229936
inflation,0.008226574
GBP_downside_vol,0.008106591
CAD_ma_50,0.007967842
MXN_carry_x_mom,0.007946286
AUD_mom_12m,0.007915116
GBP_vol_63d,0.007886729
BRL_vol_ratio,0.0076657576
MXN_mom_6m_vol_adj,0.0076598567
AUD_vol_ratio,0.0075742817
GBP_price_vs_ma200,0.0075096143
AUD_vol_of_vol,0.007482455
CAD_ma_200,0.007470882
JPY_ma_50,0.0074414606
EUR_mom_x_vix,0.0073662135
BRL_vol_126d,0.0072658802
JPY_carry_x_mom,0.0071805813
MXN_dxy_beta,0.0068778126
BRL_ma_200,0.0067894664
CHF_ma_50,0.0066487514
unemployment_change,0.0066458057
BRL_ma_50,0.0066407314
GBP_mom_3m_vol_adj,0.0065592933
CAD_mom_3m_vol_adj,0.0064376695
EUR_carry_x_vol,0.006362506
EUR_vol_ratio,0.0063033155
JPY_vol_21d,0.006190188
BRL_ma_20,0.0061724833
BRL_mom_6m,0.0060714735
AUD_ma_200,0.0059794206
JPY_mom_12_1,0.005764695
AUD_vol_126d,0.005660155
JPY_mom_x_vix,0.0056136497
dxy_ret_6m,0.005562065
CHF_mom_x_vix,0.00530615
GBP_mom_12m,0.0052244626
CHF_carry_zscore,0.0051951725
AUD_dxy_beta,0.0051154257
JPY_ma_200,0.0050943727
MXN_downside_vol,0.0050814548
EUR_mom_12m_vol_adj,0.004985255
AUD_mom_1m_vol_adj,0.00485883
JPY_mom_1m,0.0048465044
EUR_carry_rank,0.004807492
AUD_carry_x_mom,0.004797794
JPY_vol_of_vol,0.0046822927
JPY_mom_12m_vol_adj,0.0046612667
