feature,importance
CAD_downside_vol,0.06369856
CHF_mom_3m_vol_adj,0.029080935
MXN_dxy_beta,0.028239092
AUD_mom_x_vix,0.020351527
MXN_mom_6m_vol_adj,0.01995493
MXN_ma_200,0.01840664
EUR_vol_21d,0.016427591
GBP_ma_200,0.016200619
MXN_carry_x_mom,0.016062574
JPY_price_vs_ma200,0.015636256
JPY_ma_200,0.015583152
BRL_dxy_beta,0.014997605
MXN_ma_20,0.014701024
CAD_vol_126d,0.013427589
GBP_vol_ratio,0.0133205
BRL_ma_20,0.013281885
JPY_dxy_beta,0.012911049
EUR_vol_126d,0.01281658
MXN_ma_50,0.01254111
BRL_downside_vol,0.0124815535
GBP_mom_6m,0.012196033
BRL_mom_6m,0.012128394
MXN_downside_vol,0.011956215
GBP_mom_x_vix,0.011834172
term_spread,0.011556246
MXN_price_vs_ma200,0.011481232
BRL_ma_50,0.011133871
MXN_mom_12m,0.010977438
BRL_mom_3m_vol_adj,0.010948906
AUD_carry_x_mom,0.010477683
CAD_mom_1m_vol_adj,0.010474015
EUR_ma_200,0.010377621
MXN_mom_3m,0.010303659
MXN_vol_63d,0.010231918
CAD_price_vs_ma200,0.009938789
EUR_mom_12m,0.009178209
CAD_carry_rank,0.008831842
AUD_vol_21d,0.008732682
AUD_ma_50,0.008650234
MXN_mom_12m_vol_adj,0.00852819
BRL_vol_of_vol,0.008498248
AUD_mom_3m_vol_adj,0.008470098
EUR_ma_20,0.008454903
JPY_mom_3m,0.008348407
CAD_dxy_beta,0.008177305
CHF_mom_6m_vol_adj,0.008141915
AUD_dxy_beta,0.008091663
BRL_vol_63d,0.008067108
CHF_price_vs_ma200,0.007942701
GBP_mom_12_1,0.0078093014
CAD_ma_200,0.007754424
CHF_vol_21d,0.0077519696
MXN_mom_6m,0.007333813
EUR_carry_zscore,0.007265489
BRL_mom_1m,0.0071392506
CHF_dxy_beta,0.0070901345
CHF_vol_ratio,0.0070362887
GBP_mom_1m_vol_adj,0.007007794
BRL_mom_6m_vol_adj,0.006966573
BRL_mom_12_1,0.006910127
CHF_carry_rank,0.0068557803
BRL_carry_x_mom,0.0067640594
MXN_vol_21d,0.006502279
AUD_ma_20,0.006367304
AUD_mom_3m,0.0061277202
GBP_ma_20,0.0060454775
BRL_mom_12m_vol_adj,0.0059513142
JPY_carry_zscore,0.0058846986
CHF_carry_x_mom,0.005880877
BRL_mom_x_vix,0.0054572173
EUR_mom_1m,0.005437426
BRL_vol_ratio,0.0053586927
EUR_carry_x_vol,0.0051446343
CHF_mom_x_vix,0.0051393453
BRL_vol_126d,0.0050359285
MXN_mom_1m,0.0048309714
GBP_carry_x_mom,0.004778701
BRL_mom_12m,0.004745109
CAD_ma_20,0.0045966115
GBP_dxy_beta,0.0044788285
JPY_ma_50,0.004317597
CAD_carry_x_mom,0.004218663
MXN_vol_ratio,0.0039860653
MXN_rsi,0.0039183507
BRL_ma_200,0.0038937589
EUR_ma_50,0.0038776763
MXN_mom_1m_vol_adj,0.0037781454
EUR_vol_ratio,0.0037224093
JPY_mom_3m_vol_adj,0.0037075009
CHF_carry_x_vol,0.0036553068
AUD_mom_12_1,0.0036097434
CHF_ma_200,0.0035958446
JPY_ma_20,0.0035506866
BRL_carry_zscore,0.0034681633
inflation,0.0031021445
EUR_dxy_beta,0.0030880163
JPY_rate_diff,0.0030294175
BRL_mom_3m,0.0029817324
dxy_ret_1m,0.0029587396
dxy_mom_zscore,0.0029281168
GBP_price_vs_ma200,0.0029183463
MXN_mom_3m_vol_adj,0.0028049042
MXN_ma_cross,0.0027528612
JPY_vol_63d,0.0026131037
AUD_vol_63d,0.0025277385
JPY_vol_of_vol,0.0025053977
JPY_mom_12_1,0.0023783676
GBP_rsi,0.002369999
AUD_vol_of_vol,0.0023528268
AUD_downside_vol,0.0023406104
MXN_vol_126d,0.0023282513
AUD_mom_1m,0.002258913
GBP_vol_of_vol,0.0022416525
CAD_carry_x_vol,0.002227966
EUR_mom_x_vix,0.002164477
CAD_mom_1m,0.002154441
AUD_mom_6m_vol_adj,0.0021355182
AUD_rate_diff,0.0020155483
JPY_ma_cross,0.0019972967
GBP_mom_3m,0.0019757876
CHF_mom_3m,0.0019168125
MXN_mom_x_vix,0.0018389679
JPY_carry_x_mom,0.0018304777
CHF_ma_20,0.0017646911
CHF_vol_63d,0.0017105204
AUD_price_vs_ma200,0.0015915036
dxy_ret_3m,0.0015520189
GBP_mom_12m,0.0015228093
CHF_mom_1m_vol_adj,0.0015072642
BRL_rsi,0.0013776807
JPY_mom_12m,0.0013527677
GBP_vol_21d,0.0012386004
JPY_vol_21d,0.0012097261
AUD_carry_zscore,0.0009790774
CHF_carry_zscore,0.0009641689
CAD_mom_6m,0.00078076206
AUD_carry_x_vol,0.0007713903
CAD_mom_x_vix,0.00030333025
vix,0.00023135745
EUR_mom_12_1,0.00022761508
CAD_mom_12m,0.00019947648
MXN_mom_12_1,0.0001988484
GBP_downside_vol,0.00018394033
equity_drawdown,0.00017838049
