feature,importance
MXN_mom_12m,0.037599385
CAD_ma_20,0.030239332
CAD_downside_vol,0.024626395
CAD_carry_x_vol,0.024161467
MXN_mom_12m_vol_adj,0.023116278
CAD_ma_50,0.022551402
EUR_vol_63d,0.022237962
AUD_mom_12_1,0.021308633
BRL_price_vs_ma200,0.019448118
CAD_vol_63d,0.019012824
BRL_mom_12m_vol_adj,0.01849943
GBP_mom_x_vix,0.014256029
MXN_ma_50,0.014091917
JPY_carry_x_vol,0.0137673
MXN_vol_126d,0.013451816
CAD_vol_126d,0.012717361
BRL_mom_x_vix,0.012538248
gdp_growth,0.012468236
EUR_ma_200,0.012276364
AUD_ma_20,0.012251403
EUR_carry_x_mom,0.01194566
BRL_vol_126d,0.011766912
MXN_carry_x_mom,0.01140431
BRL_vol_of_vol,0.011340388
CHF_mom_12m,0.011175199
GBP_mom_6m,0.0107737705
AUD_mom_x_vix,0.010345204
AUD_mom_6m_vol_adj,0.010234703
AUD_rate_diff,0.00970551
CAD_dxy_beta,0.009660183
AUD_carry_x_mom,0.0094231535
AUD_vol_ratio,0.009310156
inflation,0.009142235
AUD_price_vs_ma200,0.009076063
CHF_vol_126d,0.00896884
EUR_vol_126d,0.008947516
AUD_mom_3m,0.008592315
JPY_mom_6m,0.008562388
CAD_ma_200,0.008277878
GBP_vol_126d,0.008262646
BRL_ma_200,0.0082607735
EUR_mom_12_1,0.008149092
CAD_price_vs_ma200,0.00803028
BRL_downside_vol,0.007842687
AUD_ma_50,0.007796314
CHF_dxy_beta,0.007790555
JPY_vol_126d,0.0075693047
term_spread,0.0074932906
EUR_mom_6m_vol_adj,0.0072588017
CAD_mom_1m,0.0072250664
EUR_ma_50,0.007205915
BRL_mom_1m_vol_adj,0.007157827
GBP_ma_200,0.007129047
MXN_dxy_beta,0.0071283965
AUD_mom_12m,0.006749754
EUR_carry_x_vol,0.006488221
BRL_carry_x_vol,0.006388944
MXN_mom_1m_vol_adj,0.00635118
GBP_ma_20,0.006342748
MXN_downside_vol,0.0062237647
JPY_mom_12m_vol_adj,0.006078893
AUD_mom_3m_vol_adj,0.0060252976
AUD_mom_6m,0.005867864
GBP_carry_x_vol,0.005821607
BRL_vol_ratio,0.0056976466
JPY_dxy_beta,0.005426851
MXN_vol_63d,0.0054079876
MXN_ma_20,0.005372163
JPY_ma_200,0.0052688955
CAD_carry_rank,0.005259933
CAD_mom_6m_vol_adj,0.0052523855
BRL_mom_12_1,0.0051010703
JPY_vol_ratio,0.0050147763
CHF_vol_ratio,0.0048693474
CAD_mom_12_1,0.0048641856
JPY_downside_vol,0.0048387223
MXN_carry_x_vol,0.004746072
JPY_carry_rank,0.0047411253
EUR_mom_1m,0.004652796
GBP_mom_1m_vol_adj,0.004602073
JPY_mom_3m_vol_adj,0.0045965593
AUD_mom_1m_vol_adj,0.004502282
CAD_carry_zscore,0.004497149
GBP_rsi,0.0044614677
EUR_carry_rank,0.004406781
CHF_ma_50,0.0043565985
MXN_ma_cross,0.004227378
AUD_dxy_beta,0.004062167
GBP_downside_vol,0.0040529356
CHF_mom_12m_vol_adj,0.0039917664
CHF_carry_rank,0.003957382
JPY_mom_1m,0.003933996
AUD_carry_zscore,0.0038436982
CAD_vol_of_vol,0.0038236878
CHF_ma_200,0.003811529
MXN_mom_x_vix,0.0037546658
EUR_rsi,0.0035818804
MXN_ma_200,0.0035478268
CAD_carry_x_mom,0.0035084116
AUD_vol_21d,0.003403309
EUR_mom_1m_vol_adj,0.0034007684
JPY_mom_3m,0.0033874298
CHF_downside_vol,0.0033820986
CAD_mom_3m,0.0032738787
GBP_vol_21d,0.0032663154
CHF_mom_6m_vol_adj,0.0030623842
CHF_mom_1m_vol_adj,0.0030547373
vix_change,0.0028399923
BRL_vol_63d,0.0027883044
GBP_mom_1m,0.0025696254
CHF_carry_x_mom,0.0025619073
BRL_mom_6m,0.002551384
BRL_mom_6m_vol_adj,0.0025320281
equity_vol_21d,0.002492037
BRL_vol_21d,0.0024849996
MXN_price_vs_ma200,0.00240328
EUR_vol_ratio,0.0023702458
JPY_vol_63d,0.0023267043
BRL_ma_50,0.002325875
BRL_ma_20,0.0022877064
dxy,0.002031836
dxy_mom_zscore,0.0019987815
AUD_vol_of_vol,0.0019518839
CHF_mom_3m,0.0019495602
AUD_mom_1m,0.0018541048
CAD_vol_ratio,0.0017383777
CHF_mom_3m_vol_adj,0.0016538844
MXN_mom_6m_vol_adj,0.0015849721
EUR_downside_vol,0.0015618595
CHF_vol_of_vol,0.0015342761
EUR_mom_3m,0.0014884262
BRL_mom_12m,0.0014809559
CAD_mom_12m,0.0013433392
BRL_mom_3m,0.0013027134
CHF_rsi,0.001139141
GBP_mom_12_1,0.0011196232
credit_spread,0.0010552292
EUR_mom_6m,0.00091249443
EUR_dxy_beta,0.00090495055
AUD_vol_63d,0.00080814766
CAD_rsi,0.00080650474
BRL_dxy_beta,0.0007918532
AUD_mom_12m_vol_adj,0.0006886381
MXN_vol_21d,0.0006548309
MXN_vol_of_vol,0.00063440076
CAD_vol_21d,0.0006222397
CHF_carry_x_vol,0.00054007286
BRL_mom_1m,0.00053674733
CAD_mom_1m_vol_adj,0.0005257873
CHF_price_vs_ma200,0.00050642225
AUD_carry_rank,0.00037239798
GBP_vol_ratio,0.00024456813
GBP_mom_12m,0.00019073172
JPY_mom_12_1,0.00017631904
CHF_carry_zscore,0.00016824313
MXN_mom_12_1,0.00016491805
dxy_ret_3m,9.5210824e-05
CHF_rate_diff,8.006699e-05
BRL_carry_zscore,7.56602e-05
JPY_carry_x_mom,0.0
BRL_carry_rank,0.0
EUR_price_vs_ma200,0.0
EUR_ma_cross,0.0
JPY_mom_x_vix,0.0
GBP_ma_50,0.0
BRL_rate_diff,0.0
EUR_ma_20,0.0
CAD_rate_diff,0.0
GBP_ma_cross,0.0
MXN_carry_rank,0.0
GBP_price_vs_ma200,0.0
AUD_vol_126d,0.0
GBP_carry_x_mom,0.0
CHF_ma_cross,0.0
EUR_carry_zscore,0.0
GBP_rate_diff,0.0
BRL_carry_x_mom,0.0
GBP_carry_zscore,0.0
AUD_carry_x_vol,0.0
CAD_mom_x_vix,0.0
GBP_carry_rank,0.0
MXN_rsi,0.0
JPY_rate_diff,0.0
JPY_carry_zscore,0.0
EUR_mom_x_vix,0.0
CHF_mom_x_vix,0.0
MXN_rate_diff,0.0
JPY_price_vs_ma200,0.0
JPY_rsi,0.0
JPY_ma_cross,0.0
MXN_carry_zscore,0.0
EUR_rate_diff,0.0
JPY_ma_50,0.0
JPY_ma_20,0.0
MXN_mom_3m,0.0
AUD_ma_200,0.0
BRL_mom_3m_vol_adj,0.0
GBP_mom_6m_vol_adj,0.0
vix,0.0
EUR_mom_3m_vol_adj,0.0
MXN_vol_ratio,0.0
EUR_mom_12m,0.0
EUR_mom_12m_vol_adj,0.0
JPY_vol_of_vol,0.0
GBP_mom_3m,0.0
JPY_vol_21d,0.0
GBP_mom_3m_vol_adj,0.0
GBP_vol_of_vol,0.0
GBP_vol_63d,0.0
CHF_ma_20,0.0
GBP_mom_12m_vol_adj,0.0
EUR_vol_21d,0.0
MXN_mom_6m,0.0
