feature,importance
MXN_dxy_beta,0.0229104
vix,0.021752657
MXN_ma_50,0.020753251
MXN_downside_vol,0.020225354
CAD_mom_x_vix,0.018434778
BRL_ma_20,0.018116323
BRL_vol_63d,0.017638948
GBP_mom_12m_vol_adj,0.017453717
BRL_dxy_beta,0.017070679
BRL_ma_200,0.016350234
credit_spread,0.01603086
BRL_vol_126d,0.015827479
BRL_mom_3m_vol_adj,0.014283564
BRL_mom_12m_vol_adj,0.014155306
CAD_ma_50,0.013140227
JPY_ma_20,0.012854435
JPY_mom_x_vix,0.012788968
MXN_carry_x_mom,0.012306276
EUR_mom_1m,0.012186247
dxy,0.01216684
EUR_mom_1m_vol_adj,0.012082847
EUR_dxy_beta,0.011862662
MXN_ma_20,0.011787956
MXN_mom_6m,0.011431729
MXN_mom_3m_vol_adj,0.011424949
CHF_mom_6m_vol_adj,0.011270669
JPY_mom_6m,0.011137677
JPY_mom_12m_vol_adj,0.01109498
AUD_ma_20,0.010939998
JPY_vol_63d,0.010888143
EUR_mom_3m_vol_adj,0.01061383
AUD_mom_12m_vol_adj,0.010281878
CHF_ma_200,0.010266558
CHF_vol_of_vol,0.009829415
inflation,0.009721219
MXN_ma_200,0.00957387
CHF_rate_diff,0.009531343
BRL_carry_x_mom,0.00936568
CHF_carry_rank,0.009290731
MXN_mom_x_vix,0.008720572
BRL_mom_x_vix,0.008643498
CAD_ma_200,0.008203823
JPY_ma_200,0.00811282
EUR_rate_diff,0.007844813
CHF_mom_3m_vol_adj,0.007747878
CHF_downside_vol,0.0077326484
CHF_vol_126d,0.007691666
CAD_carry_zscore,0.007435986
EUR_mom_x_vix,0.007293216
EUR_price_vs_ma200,0.0072033517
CHF_price_vs_ma200,0.007158981
GBP_price_vs_ma200,0.0071016843
BRL_mom_12_1,0.007095337
BRL_downside_vol,0.0070835114
EUR_vol_126d,0.0069781295
dxy_ret_6m,0.0068210764
GBP_vol_ratio,0.0066610123
CAD_mom_3m,0.0063428856
AUD_ma_50,0.006264296
CHF_dxy_beta,0.0062630316
CAD_vol_21d,0.006251575
CAD_ma_20,0.0062406342
CAD_dxy_beta,0.006222583
MXN_mom_12m_vol_adj,0.0061696316
BRL_mom_1m_vol_adj,0.0061039124
EUR_ma_200,0.0059361807
JPY_downside_vol,0.0058357758
BRL_mom_6m_vol_adj,0.0057130083
JPY_mom_3m_vol_adj,0.0056105037
EUR_carry_x_vol,0.0055140043
GBP_mom_6m_vol_adj,0.0054205274
EUR_downside_vol,0.0051282714
BRL_ma_50,0.00509214
AUD_mom_6m_vol_adj,0.005049963
EUR_ma_50,0.005002283
BRL_mom_1m,0.0049774908
CAD_downside_vol,0.004965942
JPY_rsi,0.0047953143
EUR_ma_20,0.0046918415
JPY_dxy_beta,0.0046679983
AUD_price_vs_ma200,0.0046537304
CAD_vol_ratio,0.00460588
JPY_rate_diff,0.004535725
JPY_price_vs_ma200,0.0044961544
GBP_vol_of_vol,0.0044835624
AUD_carry_rank,0.00439577
CAD_carry_rank,0.0043867673
JPY_mom_12m,0.0043852986
EUR_mom_12m_vol_adj,0.0043723537
BRL_vol_ratio,0.004337046
dxy_mom_zscore,0.00432108
CAD_vol_126d,0.004285896
MXN_mom_3m,0.0041942904
CHF_mom_x_vix,0.004192705
BRL_mom_3m,0.004049654
EUR_mom_12_1,0.0039488254
GBP_mom_12m,0.0038843167
CAD_mom_6m_vol_adj,0.0037472763
CHF_carry_zscore,0.0036632416
MXN_vol_ratio,0.0036124785
AUD_carry_zscore,0.00353147
MXN_mom_1m_vol_adj,0.0034805066
BRL_rsi,0.0034652296
AUD_downside_vol,0.003423821
GBP_mom_12_1,0.0033363954
CHF_mom_12_1,0.0032726703
JPY_mom_3m,0.003263983
GBP_vol_63d,0.0032597375
CHF_vol_63d,0.0032413027
JPY_vol_ratio,0.003198115
JPY_carry_x_mom,0.0031913652
MXN_price_vs_ma200,0.0030628052
equity_vol_21d,0.0030274366
EUR_vol_of_vol,0.0029597543
BRL_mom_6m,0.0029531706
AUD_mom_3m_vol_adj,0.0027083391
