feature,importance
BRL_mom_12m,0.03386608
EUR_ma_50,0.031103939
MXN_ma_20,0.024907218
CAD_downside_vol,0.024291497
CAD_ma_20,0.024191692
equity_ret_21d,0.023028841
GBP_carry_x_vol,0.022606516
JPY_downside_vol,0.022127008
CHF_ma_200,0.021188436
GBP_mom_6m,0.020782406
EUR_downside_vol,0.017867109
EUR_ma_200,0.01778555
GBP_ma_20,0.01703264
gdp_growth,0.016271476
BRL_mom_x_vix,0.015611426
CAD_ma_50,0.015104984
BRL_vol_63d,0.014932028
EUR_mom_6m_vol_adj,0.014134842
BRL_downside_vol,0.013961714
GBP_price_vs_ma200,0.013402075
BRL_mom_3m,0.013346507
JPY_ma_20,0.013228136
BRL_mom_3m_vol_adj,0.012272827
CHF_mom_3m,0.012089017
BRL_vol_126d,0.011180638
MXN_carry_x_vol,0.011152647
BRL_mom_6m,0.0105733555
MXN_dxy_beta,0.010505911
JPY_ma_50,0.010381977
MXN_ma_50,0.010102442
CAD_ma_200,0.010004692
CAD_vol_126d,0.009994579
EUR_carry_x_vol,0.009805636
EUR_mom_12m_vol_adj,0.009790303
AUD_mom_3m_vol_adj,0.009162235
AUD_rate_diff,0.008890141
JPY_carry_zscore,0.008786815
CAD_price_vs_ma200,0.0085615795
AUD_ma_50,0.0084341075
BRL_ma_20,0.00838779
AUD_vol_ratio,0.00831607
JPY_mom_12m,0.0081049185
EUR_mom_12_1,0.0080530355
unemployment,0.008037694
JPY_mom_3m_vol_adj,0.007987545
AUD_carry_x_mom,0.0077584554
BRL_ma_200,0.007725933
JPY_mom_x_vix,0.007578453
CAD_carry_zscore,0.007576427
MXN_carry_x_mom,0.0075523364
CAD_mom_6m,0.0073677087
equity_drawdown,0.007333298
EUR_rate_diff,0.007229632
CAD_mom_6m_vol_adj,0.0071822857
GBP_downside_vol,0.0069668144
EUR_ma_20,0.0069355913
EUR_vol_ratio,0.0065684547
CHF_vol_63d,0.006503394
vix,0.006353469
CAD_mom_1m_vol_adj,0.0063494467
BRL_carry_x_mom,0.0060872836
JPY_carry_rank,0.006063999
EUR_dxy_beta,0.005636959
MXN_mom_6m,0.0055554216
BRL_vol_ratio,0.0055102147
BRL_mom_1m,0.00550701
JPY_mom_12m_vol_adj,0.00549957
AUD_mom_1m_vol_adj,0.005477989
EUR_mom_3m_vol_adj,0.0054750275
CHF_mom_x_vix,0.005378322
EUR_vol_21d,0.0053682313
AUD_carry_rank,0.005350314
AUD_mom_6m_vol_adj,0.005028037
EUR_carry_x_mom,0.0049811667
CHF_mom_1m,0.0049555684
AUD_vol_21d,0.0049291877
JPY_vol_126d,0.004812604
JPY_dxy_beta,0.004794317
CAD_rate_diff,0.0046725636
AUD_mom_3m,0.0046649575
AUD_vol_of_vol,0.004642775
EUR_vol_63d,0.004636829
CHF_mom_3m_vol_adj,0.0046267295
AUD_carry_x_vol,0.004401619
BRL_vol_of_vol,0.0043878807
AUD_carry_zscore,0.0043613105
CHF_ma_20,0.0043323194
CHF_dxy_beta,0.004309789
GBP_rsi,0.0041672527
GBP_vol_63d,0.0041504293
CAD_carry_x_vol,0.003830273
CHF_mom_12m,0.0037973397
BRL_mom_6m_vol_adj,0.003681067
CAD_vol_21d,0.0036248118
BRL_dxy_beta,0.0036132257
equity_vol_21d,0.0035906173
CHF_vol_126d,0.0033438527
MXN_vol_ratio,0.0033427125
MXN_rsi,0.0033165617
MXN_mom_1m,0.0028436198
JPY_carry_x_mom,0.0028419779
AUD_price_vs_ma200,0.0027713855
CAD_mom_12_1,0.0027415128
AUD_rsi,0.0025918663
CHF_downside_vol,0.0025393302
CHF_carry_zscore,0.002230222
CAD_mom_3m,0.0021590109
MXN_mom_6m_vol_adj,0.0021564018
MXN_downside_vol,0.002095392
CHF_ma_50,0.0019116192
CHF_vol_of_vol,0.0017852703
EUR_carry_zscore,0.001692243
JPY_mom_3m,0.0016807186
BRL_carry_zscore,0.0016789977
GBP_dxy_beta,0.0016271679
AUD_mom_6m,0.0014901754
AUD_mom_1m,0.0013993902
GBP_vol_21d,0.001304149
JPY_carry_x_vol,0.0012571298
dxy,0.0012548184
GBP_vol_ratio,0.001230157
dxy_ret_1m,0.0011903588
EUR_mom_6m,0.0011888895
CAD_vol_ratio,0.0010904407
GBP_mom_3m,0.0010846149
BRL_mom_12_1,0.0010502577
MXN_vol_of_vol,0.0010339074
JPY_rsi,0.0009892259
BRL_mom_12m_vol_adj,0.0009860493
CHF_mom_6m,0.0008872157
MXN_mom_1m_vol_adj,0.00083271647
CAD_mom_1m,0.0007749616
AUD_dxy_beta,0.0007638036
MXN_vol_21d,0.0006977477
GBP_mom_3m_vol_adj,0.00069397077
JPY_mom_12_1,0.0006213221
GBP_vol_of_vol,0.0005876589
GBP_mom_x_vix,0.00056558836
CAD_rsi,0.000421884
BRL_mom_1m_vol_adj,0.00032424473
JPY_vol_21d,0.00022922657
AUD_mom_12_1,0.00021983015
CAD_dxy_beta,0.00011050162
JPY_mom_1m,6.876523e-05
BRL_vol_21d,6.8411806e-05
BRL_ma_50,0.0
AUD_ma_cross,0.0
GBP_carry_x_mom,0.0
CHF_carry_x_mom,0.0
EUR_mom_x_vix,0.0
CHF_carry_x_vol,0.0
EUR_price_vs_ma200,0.0
CAD_carry_x_mom,0.0
BRL_ma_cross,0.0
BRL_rsi,0.0
GBP_ma_50,0.0
GBP_ma_200,0.0
GBP_ma_cross,0.0
EUR_ma_cross,0.0
JPY_ma_200,0.0
JPY_ma_cross,0.0
JPY_price_vs_ma200,0.0
MXN_ma_200,0.0
CHF_price_vs_ma200,0.0
MXN_ma_cross,0.0
MXN_price_vs_ma200,0.0
AUD_mom_x_vix,0.0
CHF_rsi,0.0
CHF_ma_cross,0.0
BRL_carry_x_vol,0.0
EUR_rsi,0.0
CAD_ma_cross,0.0
CAD_mom_x_vix,0.0
BRL_price_vs_ma200,0.0
AUD_ma_200,0.0
EUR_vol_of_vol,0.0
AUD_ma_20,0.0
EUR_mom_3m,0.0
CHF_mom_1m_vol_adj,0.0
CHF_mom_6m_vol_adj,0.0
CHF_mom_12m_vol_adj,0.0
CHF_mom_12_1,0.0
EUR_mom_1m,0.0
EUR_mom_1m_vol_adj,0.0
EUR_mom_12m,0.0
CAD_mom_12m,0.0
GBP_mom_1m,0.0
GBP_mom_1m_vol_adj,0.0
GBP_mom_6m_vol_adj,0.0
GBP_mom_12m,0.0
GBP_mom_12m_vol_adj,0.0
GBP_mom_12_1,0.0
CAD_mom_12m_vol_adj,0.0
CAD_mom_3m_vol_adj,0.0
unemployment_change,0.0
GBP_rate_diff,0.0
BRL_rate_diff,0.0
BRL_carry_rank,0.0
CAD_carry_rank,0.0
CHF_rate_diff,0.0
CHF_carry_rank,0.0
EUR_carry_rank,0.0
GBP_carry_zscore,0.0
AUD_mom_12m_vol_adj,0.0
GBP_carry_rank,0.0
JPY_rate_diff,0.0
MXN_rate_diff,0.0
MXN_carry_zscore,0.0
MXN_carry_rank,0.0
AUD_mom_12m,0.0
JPY_mom_1m_vol_adj,0.0
JPY_mom_6m,0.0
JPY_mom_6m_vol_adj,0.0
credit_spread_wide,0.0
MXN_vol_126d,0.0
vix_change,0.0
vix_zscore,0.0
vix_spike,0.0
credit_spread,0.0
credit_spread_change,0.0
term_spread,0.0
MXN_mom_3m,0.0
term_spread_negative,0.0
dxy_ret_3m,0.0
dxy_ret_6m,0.0
dxy_mom_zscore,0.0
dxy_above_ma,0.0
inflation,0.0
MXN_vol_63d,0.0
JPY_vol_ratio,0.0
JPY_vol_of_vol,0.0
JPY_vol_63d,0.0
GBP_vol_126d,0.0
EUR_vol_126d,0.0
CHF_vol_ratio,0.0
CHF_vol_21d,0.0
CAD_vol_of_vol,0.0
CAD_vol_63d,0.0
AUD_downside_vol,0.0
AUD_vol_126d,0.0
AUD_vol_63d,0.0
MXN_mom_12_1,0.0
MXN_mom_12m_vol_adj,0.0
MXN_mom_12m,0.0
MXN_mom_3m_vol_adj,0.0
MXN_mom_x_vix,0.0
