feature,importance
BRL_mom_6m_vol_adj,0.026643356
CAD_ma_50,0.019792873
CHF_mom_6m_vol_adj,0.019723352
GBP_mom_12m,0.019423652
AUD_ma_200,0.018398711
MXN_price_vs_ma200,0.017437626
MXN_carry_x_vol,0.017379252
MXN_ma_50,0.017313758
CHF_mom_12m,0.016763669
EUR_ma_50,0.016229298
BRL_mom_6m,0.013301863
CAD_vol_126d,0.01304475
CAD_ma_200,0.012998542
JPY_ma_200,0.012973492
CHF_vol_63d,0.012884017
AUD_carry_x_mom,0.012603383
MXN_mom_12m_vol_adj,0.012460679
AUD_vol_63d,0.012335246
BRL_carry_x_vol,0.012282786
CAD_ma_20,0.012029576
CHF_mom_1m,0.0118614845
CHF_price_vs_ma200,0.011747868
JPY_dxy_beta,0.011434835
BRL_mom_x_vix,0.0111432
JPY_mom_6m_vol_adj,0.01086675
JPY_ma_50,0.01082525
CHF_carry_x_mom,0.010502017
AUD_dxy_beta,0.010203358
BRL_ma_20,0.009932301
BRL_ma_200,0.009797824
JPY_carry_rank,0.009775403
AUD_mom_3m_vol_adj,0.009693252
CHF_dxy_beta,0.009645908
CHF_ma_200,0.009569106
CHF_ma_20,0.009482747
inflation,0.00940393
CAD_downside_vol,0.009306626
CHF_vol_of_vol,0.009242171
MXN_vol_21d,0.009192463
GBP_vol_126d,0.008893661
EUR_rate_diff,0.00888571
EUR_ma_200,0.008873031
JPY_vol_21d,0.008813303
BRL_vol_ratio,0.008461482
MXN_vol_126d,0.008390094
JPY_mom_3m,0.008021312
CHF_vol_126d,0.007937626
EUR_mom_6m_vol_adj,0.007863512
GBP_carry_x_mom,0.007772832
JPY_price_vs_ma200,0.007720562
MXN_vol_ratio,0.007687008
JPY_carry_x_mom,0.00757636
BRL_vol_63d,0.0075595644
JPY_ma_20,0.0074984864
EUR_mom_1m_vol_adj,0.0074179433
AUD_vol_126d,0.0073689176
BRL_carry_x_mom,0.007345763
MXN_mom_6m,0.007324236
EUR_dxy_beta,0.007130146
CAD_vol_ratio,0.0070299273
CHF_mom_1m_vol_adj,0.007002539
AUD_ma_50,0.0068858513
MXN_mom_12_1,0.006818892
credit_spread,0.0067868945
MXN_vol_63d,0.0066967127
JPY_vol_126d,0.0066853524
MXN_ma_200,0.006436668
BRL_ma_50,0.0064281966
GBP_mom_6m_vol_adj,0.006301149
term_spread,0.0062483605
JPY_vol_of_vol,0.0061674737
JPY_mom_12_1,0.0061524054
BRL_rate_diff,0.0060463664
CHF_mom_3m,0.005885696
AUD_ma_20,0.0058333836
JPY_downside_vol,0.005817648
MXN_ma_20,0.0056984774
vix_zscore,0.0056229564
CAD_carry_zscore,0.0054693944
MXN_dxy_beta,0.0054367213
GBP_carry_x_vol,0.005361933
CAD_mom_12m_vol_adj,0.0051128697
CHF_mom_3m_vol_adj,0.0051005087
CAD_mom_12_1,0.004924813
JPY_rsi,0.004910495
CAD_carry_x_mom,0.0048346245
GBP_ma_200,0.004818095
MXN_mom_3m_vol_adj,0.004755924
CHF_ma_50,0.0046754
JPY_mom_1m,0.004647453
MXN_downside_vol,0.0045899735
MXN_mom_1m,0.0045659677
AUD_vol_21d,0.004552836
EUR_vol_ratio,0.004458336
GBP_ma_20,0.004429651
AUD_vol_ratio,0.004310368
EUR_carry_zscore,0.0042877495
AUD_rsi,0.00423335
EUR_vol_63d,0.0040982882
CAD_mom_6m_vol_adj,0.0040931925
BRL_rsi,0.004077551
BRL_mom_1m,0.0040439256
CAD_rate_diff,0.003916873
dxy_ret_6m,0.0038851302
CAD_carry_rank,0.0037826982
CAD_dxy_beta,0.003753919
BRL_dxy_beta,0.0037515452
EUR_price_vs_ma200,0.00374432
AUD_mom_3m,0.0037416043
BRL_vol_126d,0.0037342897
AUD_price_vs_ma200,0.0036943436
MXN_rsi,0.0036611985
dxy_ret_1m,0.0036144194
CAD_rsi,0.0035590557
BRL_vol_of_vol,0.0035329084
CHF_vol_ratio,0.003303757
CHF_mom_12m_vol_adj,0.0032545882
CHF_vol_21d,0.0028198743
AUD_vol_of_vol,0.0027385445
CHF_mom_12_1,0.002639234
equity_ret_21d,0.002622179
AUD_mom_12_1,0.0025001538
CHF_rsi,0.002466027
AUD_mom_12m,0.0022821538
EUR_carry_x_mom,0.0022216616
GBP_price_vs_ma200,0.0021033161
MXN_mom_x_vix,0.0021025608
BRL_carry_zscore,0.0019108796
CAD_mom_3m,0.0017797739
CAD_mom_12m,0.0017682316
dxy_ret_3m,0.0016505492
AUD_carry_zscore,0.0016441988
CHF_downside_vol,0.0014768095
MXN_vol_of_vol,0.0013193046
GBP_vol_ratio,0.0012743025
BRL_mom_3m,0.0011643182
dxy_mom_zscore,0.00092017266
CHF_mom_6m,0.00091860775
CAD_mom_1m_vol_adj,0.00084683235
EUR_mom_12m,0.0006543273
BRL_mom_1m_vol_adj,0.0004947357
AUD_mom_6m,0.00040969136
GBP_vol_63d,0.0003598529
JPY_mom_1m_vol_adj,0.0003106699
CAD_mom_6m,0.00025409428
EUR_rsi,0.0002487978
EUR_mom_3m,0.00023722123
AUD_rate_diff,0.00014171442
BRL_vol_21d,0.00011572594
AUD_carry_rank,5.862281e-05
CAD_mom_1m,3.6287798e-05
CAD_vol_21d,2.918679e-05
BRL_mom_12_1,2.6404094e-05
vix_spike,0.0
BRL_mom_3m_vol_adj,0.0
MXN_carry_zscore,0.0
MXN_ma_cross,0.0
MXN_carry_rank,0.0
AUD_mom_1m,0.0
AUD_mom_1m_vol_adj,0.0
AUD_mom_6m_vol_adj,0.0
AUD_mom_12m_vol_adj,0.0
JPY_ma_cross,0.0
BRL_mom_12m_vol_adj,0.0
BRL_mom_12m,0.0
GBP_rsi,0.0
GBP_ma_cross,0.0
GBP_ma_50,0.0
CAD_mom_3m_vol_adj,0.0
EUR_mom_1m,0.0
EUR_mom_3m_vol_adj,0.0
EUR_ma_cross,0.0
EUR_mom_6m,0.0
MXN_rate_diff,0.0
JPY_carry_zscore,0.0
EUR_ma_20,0.0
CHF_carry_rank,0.0
MXN_carry_x_mom,0.0
JPY_mom_x_vix,0.0
JPY_carry_x_vol,0.0
BRL_carry_rank,0.0
GBP_mom_x_vix,0.0
CHF_rate_diff,0.0
CHF_carry_zscore,0.0
EUR_mom_x_vix,0.0
EUR_carry_x_vol,0.0
CHF_mom_x_vix,0.0
AUD_carry_x_vol,0.0
CHF_carry_x_vol,0.0
EUR_carry_rank,0.0
CAD_mom_x_vix,0.0
CAD_carry_x_vol,0.0
GBP_rate_diff,0.0
GBP_carry_zscore,0.0
GBP_carry_rank,0.0
JPY_rate_diff,0.0
AUD_mom_x_vix,0.0
EUR_mom_12m_vol_adj,0.0
EUR_mom_12_1,0.0
credit_spread_change,0.0
GBP_vol_of_vol,0.0
gdp_growth,0.0
CAD_vol_63d,0.0
GBP_dxy_beta,0.0
CAD_vol_of_vol,0.0
EUR_vol_21d,0.0
EUR_vol_126d,0.0
EUR_downside_vol,0.0
GBP_vol_21d,0.0
dxy_above_ma,0.0
GBP_downside_vol,0.0
unemployment,0.0
JPY_vol_63d,0.0
JPY_vol_ratio,0.0
dxy,0.0
equity_drawdown,0.0
equity_vol_21d,0.0
vix,0.0
term_spread_negative,0.0
vix_change,0.0
credit_spread_wide,0.0
BRL_downside_vol,0.0
unemployment_change,0.0
GBP_mom_1m,0.0
JPY_mom_3m_vol_adj,0.0
CHF_ma_cross,0.0
GBP_mom_1m_vol_adj,0.0
GBP_mom_3m,0.0
GBP_mom_3m_vol_adj,0.0
CAD_price_vs_ma200,0.0
GBP_mom_6m,0.0
CAD_ma_cross,0.0
GBP_mom_12m_vol_adj,0.0
GBP_mom_12_1,0.0
BRL_price_vs_ma200,0.0
AUD_downside_vol,0.0
JPY_mom_6m,0.0
BRL_ma_cross,0.0
JPY_mom_12m,0.0
JPY_mom_12m_vol_adj,0.0
MXN_mom_1m_vol_adj,0.0
MXN_mom_3m,0.0
MXN_mom_6m_vol_adj,0.0
AUD_ma_cross,0.0
MXN_mom_12m,0.0
EUR_vol_of_vol,0.0
