feature,importance
CAD_ma_50,0.036362622
BRL_vol_63d,0.023632383
CHF_mom_12m,0.02181967
gdp_growth,0.020862715
BRL_mom_x_vix,0.020443415
EUR_vol_126d,0.019163921
GBP_vol_126d,0.018342113
EUR_vol_63d,0.018189067
credit_spread,0.016176514
GBP_mom_12m,0.015246409
AUD_ma_50,0.015148546
EUR_carry_x_mom,0.014506081
JPY_dxy_beta,0.013161144
MXN_mom_6m,0.0128950635
BRL_vol_126d,0.011633727
GBP_ma_50,0.011182038
CHF_ma_20,0.011095534
MXN_ma_200,0.010552615
CHF_dxy_beta,0.010474705
equity_drawdown,0.010256953
CAD_carry_rank,0.010221155
CHF_mom_6m_vol_adj,0.010073026
BRL_ma_200,0.010064808
BRL_dxy_beta,0.010060268
CHF_mom_3m,0.009929601
AUD_mom_12_1,0.009925854
CAD_carry_x_mom,0.009746384
GBP_dxy_beta,0.009529304
CHF_price_vs_ma200,0.009509246
inflation,0.0094934665
EUR_price_vs_ma200,0.009250269
CAD_vol_63d,0.0092384
CHF_mom_1m,0.0091898525
BRL_mom_1m_vol_adj,0.008839601
CHF_vol_of_vol,0.008496676
BRL_downside_vol,0.008362138
JPY_ma_200,0.008331742
CAD_vol_of_vol,0.008114309
term_spread,0.008106039
BRL_ma_50,0.008011429
CHF_ma_200,0.007993878
CAD_ma_20,0.007760051
BRL_vol_ratio,0.0077241096
dxy_ret_1m,0.0076755485
CAD_dxy_beta,0.007618888
BRL_mom_12_1,0.007311199
CAD_ma_200,0.0071811704
JPY_ma_20,0.007061523
GBP_ma_200,0.007022197
BRL_mom_12m_vol_adj,0.0069920546
CAD_rate_diff,0.0069817062
CHF_ma_50,0.0069460403
BRL_carry_x_vol,0.0069354703
MXN_vol_63d,0.0069273594
JPY_vol_21d,0.006781029
AUD_mom_6m_vol_adj,0.006708505
GBP_mom_x_vix,0.0066424944
GBP_vol_63d,0.0065879305
AUD_mom_1m_vol_adj,0.006437096
CAD_vol_ratio,0.0064217327
AUD_carry_rank,0.006383184
MXN_vol_ratio,0.0062999227
GBP_carry_x_vol,0.0062990976
EUR_ma_200,0.006239096
EUR_vol_ratio,0.0062335106
CHF_carry_x_mom,0.006201387
AUD_carry_x_mom,0.0060458635
CAD_mom_6m_vol_adj,0.005978072
dxy,0.0059635006
GBP_mom_12m_vol_adj,0.005577881
AUD_ma_20,0.005535351
CHF_carry_rank,0.005520027
AUD_vol_126d,0.0054553756
AUD_vol_21d,0.0054506767
GBP_vol_ratio,0.0054298732
JPY_mom_3m,0.0053993645
EUR_ma_50,0.0053814384
EUR_mom_6m_vol_adj,0.005366436
MXN_mom_6m_vol_adj,0.005296113
BRL_carry_rank,0.005283492
AUD_dxy_beta,0.005213009
EUR_rsi,0.0052107736
BRL_carry_x_mom,0.0051991786
MXN_vol_126d,0.0051727253
EUR_mom_1m_vol_adj,0.005155766
CHF_mom_x_vix,0.005152153
AUD_mom_6m,0.005150215
JPY_carry_rank,0.005131985
JPY_vol_ratio,0.0051230527
unemployment_change,0.005098087
EUR_ma_20,0.0050457316
GBP_vol_21d,0.0050450633
GBP_price_vs_ma200,0.0050420286
CHF_rsi,0.0048378
CHF_mom_1m_vol_adj,0.004731229
vix_zscore,0.004691418
EUR_carry_rank,0.0046183905
MXN_mom_x_vix,0.0046178326
AUD_vol_63d,0.004588392
JPY_mom_12_1,0.0045861816
JPY_mom_x_vix,0.004358159
MXN_ma_20,0.004323129
GBP_mom_6m,0.004240866
CHF_vol_126d,0.0040913937
MXN_dxy_beta,0.0040637767
CHF_vol_63d,0.003990679
EUR_carry_x_vol,0.0039510713
MXN_downside_vol,0.0038694523
JPY_mom_6m_vol_adj,0.0038561951
CAD_mom_12_1,0.0037916591
EUR_mom_3m_vol_adj,0.003650326
JPY_mom_1m_vol_adj,0.0033732255
JPY_ma_50,0.0032644337
CHF_mom_6m,0.0032385981
MXN_ma_50,0.0031403117
MXN_mom_3m,0.0031000474
BRL_carry_zscore,0.0030818654
CHF_vol_21d,0.0030667956
CHF_vol_ratio,0.0028764633
JPY_mom_12m_vol_adj,0.0028420056
GBP_downside_vol,0.0027612166
MXN_price_vs_ma200,0.002710924
GBP_mom_6m_vol_adj,0.002670841
CHF_mom_12_1,0.002660127
EUR_mom_1m,0.0026491457
MXN_carry_x_vol,0.0025880123
EUR_mom_6m,0.0025779733
AUD_vol_of_vol,0.0022089097
JPY_mom_1m,0.00204125
BRL_rate_diff,0.0019882084
CAD_downside_vol,0.0019211414
AUD_mom_3m,0.0019184982
JPY_rsi,0.001830805
BRL_vol_of_vol,0.0016924684
CAD_mom_6m,0.0016821253
AUD_rate_diff,0.0016604838
CHF_carry_x_vol,0.0016160358
AUD_mom_x_vix,0.0016055097
GBP_mom_1m,0.0016022823
GBP_rsi,0.0015993102
EUR_mom_3m,0.0014761082
AUD_carry_zscore,0.0014605065
GBP_vol_of_vol,0.0014588565
AUD_carry_x_vol,0.0013020197
AUD_mom_12m_vol_adj,0.0011734667
JPY_downside_vol,0.0011000099
AUD_ma_cross,0.0008488581
BRL_mom_12m,0.00078736484
CAD_mom_12m,0.0006411336
JPY_mom_12m,0.0005175217
MXN_mom_1m_vol_adj,0.00050307496
CAD_rsi,0.0004957717
JPY_mom_6m,0.00043399626
CHF_carry_zscore,0.00039990284
EUR_vol_21d,0.00039585
BRL_mom_3m_vol_adj,0.00021579923
equity_ret_21d,0.00018569155
CAD_carry_zscore,0.00014968986
AUD_mom_12m,0.0001172395
AUD_mom_1m,4.8072245e-05
BRL_mom_1m,3.3895525e-05
JPY_ma_cross,0.0
BRL_mom_3m,0.0
JPY_vol_of_vol,0.0
BRL_mom_6m,0.0
BRL_mom_6m_vol_adj,0.0
GBP_ma_cross,0.0
JPY_price_vs_ma200,0.0
GBP_ma_20,0.0
CAD_mom_1m_vol_adj,0.0
CAD_mom_3m,0.0
EUR_ma_cross,0.0
CAD_mom_3m_vol_adj,0.0
CAD_mom_1m,0.0
MXN_rsi,0.0
AUD_mom_3m_vol_adj,0.0
