feature,importance
gdp_growth,0.038523674
CHF_ma_200,0.030605653
EUR_vol_63d,0.027778506
JPY_ma_200,0.022787696
MXN_dxy_beta,0.022441536
JPY_carry_rank,0.022112453
EUR_ma_20,0.02205046
GBP_ma_20,0.021813925
JPY_ma_20,0.020067627
BRL_carry_x_mom,0.016966062
BRL_mom_x_vix,0.016243424
BRL_vol_21d,0.01564938
AUD_mom_1m_vol_adj,0.015074597
CAD_dxy_beta,0.014526456
MXN_mom_12m_vol_adj,0.014284632
AUD_dxy_beta,0.012853596
CHF_vol_63d,0.012680626
JPY_mom_12_1,0.012524589
AUD_rate_diff,0.012245241
EUR_ma_50,0.012055333
JPY_mom_x_vix,0.011784864
CHF_ma_50,0.010919546
EUR_mom_6m,0.010188657
GBP_mom_3m,0.010122711
JPY_downside_vol,0.0100579215
EUR_vol_126d,0.010004284
CHF_carry_x_vol,0.009872211
CHF_carry_x_mom,0.00899272
CAD_carry_x_mom,0.008863112
CHF_mom_12_1,0.008646933
BRL_mom_6m_vol_adj,0.008552906
dxy,0.008476474
EUR_carry_rank,0.008463311
equity_vol_21d,0.00844529
EUR_vol_ratio,0.008445002
CAD_mom_1m_vol_adj,0.008364012
MXN_downside_vol,0.008186216
CAD_ma_cross,0.008157817
inflation,0.008119903
CAD_vol_63d,0.008059858
CAD_ma_200,0.00781004
CAD_mom_12_1,0.007797898
GBP_mom_12_1,0.0077608274
BRL_vol_63d,0.007512021
GBP_mom_6m,0.0074058394
JPY_vol_21d,0.0071094367
JPY_mom_6m_vol_adj,0.007077513
GBP_ma_200,0.0069494187
BRL_ma_20,0.0069184047
BRL_mom_12_1,0.006852179
CHF_mom_1m_vol_adj,0.0068282876
GBP_vol_126d,0.006666016
GBP_vol_of_vol,0.006624419
BRL_downside_vol,0.006581038
AUD_mom_3m_vol_adj,0.0063937483
CHF_downside_vol,0.006312219
EUR_ma_200,0.0061121364
CAD_mom_x_vix,0.00611028
AUD_vol_63d,0.0060714493
CHF_ma_20,0.006051765
AUD_rsi,0.0059477263
AUD_ma_50,0.0059105465
CAD_ma_20,0.0058749914
CAD_vol_126d,0.0056987545
JPY_mom_3m_vol_adj,0.005685491
GBP_dxy_beta,0.0056588966
BRL_carry_rank,0.005555876
JPY_vol_126d,0.0055509377
credit_spread,0.0054761404
AUD_mom_x_vix,0.0054693306
GBP_carry_x_mom,0.0054188054
AUD_carry_x_vol,0.005392598
CAD_downside_vol,0.0053905398
CAD_vol_of_vol,0.0052998536
EUR_mom_3m,0.005107251
JPY_rsi,0.0050183884
MXN_vol_126d,0.004920436
MXN_vol_of_vol,0.004829423
BRL_carry_zscore,0.004819537
EUR_mom_12m_vol_adj,0.004799925
JPY_mom_1m,0.004781787
dxy_ret_3m,0.0047367336
CAD_mom_6m,0.0045005246
MXN_mom_12_1,0.0044308957
CAD_mom_6m_vol_adj,0.004376226
AUD_ma_20,0.004340745
JPY_mom_1m_vol_adj,0.004321859
vix_zscore,0.004175336
JPY_ma_50,0.004086491
MXN_mom_3m,0.004078006
term_spread,0.0040215645
JPY_mom_12m_vol_adj,0.0039531016
JPY_price_vs_ma200,0.0039085937
CHF_vol_126d,0.0038851732
JPY_carry_x_vol,0.0038646602
CHF_carry_rank,0.003853555
BRL_vol_126d,0.0037532991
CAD_carry_zscore,0.0037474355
AUD_carry_x_mom,0.0037426464
EUR_mom_12_1,0.0035502254
equity_drawdown,0.0034693093
AUD_ma_200,0.0034651544
AUD_vol_21d,0.0034338422
BRL_dxy_beta,0.0034154118
BRL_vol_ratio,0.0034064054
CHF_carry_zscore,0.0034059165
GBP_mom_6m_vol_adj,0.0033975316
JPY_vol_63d,0.0032325871
GBP_mom_12m_vol_adj,0.0032100715
MXN_ma_50,0.0031776936
MXN_carry_x_mom,0.003131934
CHF_price_vs_ma200,0.0030893956
JPY_rate_diff,0.002971634
dxy_mom_zscore,0.0028854124
AUD_mom_6m_vol_adj,0.0028842844
CHF_mom_x_vix,0.002827826
CHF_rsi,0.0027505627
JPY_vol_of_vol,0.0027086851
BRL_carry_x_vol,0.0026735917
dxy_ret_6m,0.002605808
CAD_ma_50,0.0025419535
BRL_rsi,0.0024384367
CAD_rate_diff,0.0024233942
EUR_mom_3m_vol_adj,0.002327956
CHF_mom_1m,0.002204666
GBP_rsi,0.0021272888
CHF_mom_6m_vol_adj,0.0021195684
CHF_vol_21d,0.0020860885
JPY_vol_ratio,0.001717752
GBP_mom_1m_vol_adj,0.001593492
AUD_mom_6m,0.001563742
BRL_mom_1m,0.0015611207
JPY_mom_3m,0.0014873766
EUR_carry_zscore,0.0014319958
CHF_mom_3m,0.0013439367
AUD_downside_vol,0.0013351159
CAD_rsi,0.0012925415
CHF_mom_3m_vol_adj,0.001273732
GBP_ma_50,0.0010527346
BRL_mom_6m,0.0010398272
GBP_vol_63d,0.00094540894
EUR_price_vs_ma200,0.000866464
AUD_carry_rank,0.00077118067
EUR_vol_of_vol,0.0006745351
JPY_mom_12m,0.00064208294
MXN_mom_12m,0.00063974253
MXN_mom_6m,0.00063969026
CAD_mom_1m,0.0006094365
GBP_vol_21d,0.0005713569
AUD_vol_ratio,0.00054285163
CAD_price_vs_ma200,0.00047797646
AUD_vol_of_vol,0.0004711307
AUD_carry_zscore,0.00043254372
AUD_mom_3m,0.00033954627
GBP_price_vs_ma200,0.00030531344
AUD_mom_12_1,0.0002824515
GBP_vol_ratio,0.0002813823
GBP_mom_x_vix,0.00020241292
GBP_mom_12m,0.00017508322
AUD_mom_1m,0.00013516298
BRL_mom_3m,0.0
MXN_ma_200,0.0
MXN_ma_20,0.0
BRL_mom_1m_vol_adj,0.0
vix,0.0
JPY_ma_cross,0.0
BRL_mom_3m_vol_adj,0.0
BRL_mom_12m,0.0
MXN_ma_cross,0.0
GBP_ma_cross,0.0
CAD_mom_3m,0.0
CAD_mom_3m_vol_adj,0.0
CAD_mom_12m,0.0
CAD_mom_12m_vol_adj,0.0
EUR_rsi,0.0
BRL_mom_12m_vol_adj,0.0
AUD_mom_12m,0.0
MXN_rsi,0.0
EUR_carry_x_mom,0.0
MXN_carry_x_vol,0.0
BRL_rate_diff,0.0
CAD_carry_rank,0.0
CHF_rate_diff,0.0
JPY_carry_x_mom,0.0
GBP_carry_x_vol,0.0
EUR_rate_diff,0.0
EUR_mom_x_vix,0.0
EUR_carry_x_vol,0.0
GBP_rate_diff,0.0
MXN_price_vs_ma200,0.0
GBP_carry_zscore,0.0
GBP_carry_rank,0.0
JPY_carry_zscore,0.0
CAD_carry_x_vol,0.0
MXN_rate_diff,0.0
MXN_carry_zscore,0.0
MXN_carry_rank,0.0
CHF_mom_6m,0.0
AUD_mom_12m_vol_adj,0.0
EUR_ma_cross,0.0
CHF_ma_cross,0.0
CHF_mom_12m,0.0
BRL_vol_of_vol,0.0
CAD_vol_21d,0.0
EUR_dxy_beta,0.0
CHF_dxy_beta,0.0
CAD_vol_ratio,0.0
CHF_vol_of_vol,0.0
CHF_vol_ratio,0.0
dxy_above_ma,0.0
EUR_vol_21d,0.0
EUR_downside_vol,0.0
dxy_ret_1m,0.0
GBP_downside_vol,0.0
equity_ret_21d,0.0
term_spread_negative,0.0
MXN_vol_21d,0.0
credit_spread_wide,0.0
credit_spread_change,0.0
MXN_vol_63d,0.0
vix_spike,0.0
MXN_vol_ratio,0.0
JPY_dxy_beta,0.0
unemployment,0.0
CHF_mom_12m_vol_adj,0.0
unemployment_change,0.0
EUR_mom_1m,0.0
EUR_mom_1m_vol_adj,0.0
vix_change,0.0
EUR_mom_6m_vol_adj,0.0
EUR_mom_12m,0.0
GBP_mom_1m,0.0
GBP_mom_3m_vol_adj,0.0
JPY_mom_6m,0.0
MXN_mom_1m,0.0
BRL_price_vs_ma200,0.0
MXN_mom_1m_vol_adj,0.0
BRL_ma_cross,0.0
BRL_ma_200,0.0
BRL_ma_50,0.0
MXN_mom_3m_vol_adj,0.0
AUD_price_vs_ma200,0.0
AUD_ma_cross,0.0
MXN_mom_6m_vol_adj,0.0
AUD_vol_126d,0.0
MXN_mom_x_vix,0.0
