Date,Equity
2023-11-13,100000.0
2023-11-14,100000.0
2023-11-15,100001.0628585547
2023-11-16,100001.77557101936
2023-11-17,100001.91584770693
2023-11-20,100001.55313704029
2023-11-21,100000.07817962585
2023-11-22,99999.80857751267
2023-11-24,100001.02586256058
2023-11-27,100000.68681929845
2023-11-28,99999.47814740147
2023-11-29,99997.99297780785
2023-11-30,99997.96645988112
2023-12-01,99998.92818958191
2023-12-04,99997.20545219717
2023-12-05,99998.4531711694
2023-12-06,99999.82369605768
2023-12-07,100000.20943135295
2023-12-08,99997.18784175722
2023-12-11,99998.35677095623
2023-12-12,99999.42751585937
2023-12-13,99999.18487615151
2023-12-14,99996.68655035751
2023-12-15,99995.8872753022
2023-12-18,99996.09747648136
2023-12-19,99996.39699039208
2023-12-20,99995.87002795373
2023-12-21,99996.35640015405
2023-12-22,99994.55949922159
2023-12-26,99994.23321544853
2023-12-27,99993.35148714446
2023-12-28,99991.81673826784
2023-12-29,99993.03566831598
2024-01-02,99993.25207486916
2024-01-03,99995.99705669747
2024-01-04,99997.02429395543
2024-01-05,99998.1817563676
2024-01-08,99998.16116536391
2024-01-09,99997.77748871544
2024-01-10,99999.01879649718
2024-01-11,99999.14595019845
2024-01-12,99998.982284
2024-01-16,100000.05109052936
2024-01-17,100002.53846288165
2024-01-18,100003.06855339135
2024-01-19,100002.69410906712
2024-01-22,100002.4936410445
2024-01-23,100003.16521660781
2024-01-24,100002.90986028627
2024-01-25,100002.95716625165
2024-01-26,100002.91331024894
2024-01-29,100003.00788992431
2024-01-30,100002.47222007668
2024-01-31,100002.9113476142
2024-02-01,100003.2165866932
2024-02-02,100002.75607544363
2024-02-05,100005.3855708471
2024-02-06,100006.23097656906
2024-02-07,100005.40849108355
2024-02-08,100005.68375520619
2024-02-09,100006.65984756239
2024-02-12,100006.2434806803
2024-02-13,100006.36485310658
2024-02-14,100007.77727239218
2024-02-15,100007.42130602906
2024-02-16,100006.7330041712
2024-02-20,100006.81700416152
2024-02-21,100006.42599522481
2024-02-22,100006.42611164597
2024-02-23,100006.60280842325
2024-02-26,100006.66054468071
2024-02-27,100006.96260943271
2024-02-28,100006.87770859106
2024-02-29,100007.93611701753
2024-03-01,100007.9241521938
2024-03-04,100007.1909942308
2024-03-05,100007.29388251649
2024-03-06,100007.20508893313
2024-03-07,100005.44866209573
2024-03-08,100003.75089973946
2024-03-11,100003.28995466138
2024-03-12,100003.51300490768
2024-03-13,100003.91446968782
2024-03-14,100002.71232705131
2024-03-15,100004.363548796
2024-03-18,100004.892694439
2024-03-19,100005.77681244013
2024-03-20,100006.87666978069
2024-03-21,100004.3448848758
2024-03-22,100006.62771944798
2024-03-25,100008.2707110424
2024-03-26,100007.33154197516
2024-03-27,100007.3307665348
2024-03-28,100007.33416206064
2024-04-01,100007.25932448078
2024-04-02,100008.67869841483
2024-04-03,100008.19250990904
2024-04-04,100007.32553627713
2024-04-05,100007.71648357321
2024-04-08,100007.56637934645
2024-04-09,100006.1636924064
2024-04-10,100006.09121652972
2024-04-11,100009.29093860503
2024-04-12,100009.05141864004
2024-04-15,100012.53701674528
2024-04-16,100013.8251280243
2024-04-17,100016.1912140743
2024-04-18,100015.9788086824
2024-04-19,100015.67172034545
2024-04-22,100015.77376202679
2024-04-23,100015.44945199399
2024-04-24,100016.16814456915
2024-04-25,100015.59540959744
2024-04-26,100014.73164778629
2024-04-29,100015.82782904607
2024-04-30,100016.733491992
2024-05-01,100016.1950710398
2024-05-02,100018.10809258101
2024-05-03,100017.68546546933
2024-05-06,100018.13208468266
2024-05-07,100019.22405767739
2024-05-08,100019.85349204853
2024-05-09,100020.24344238135
2024-05-10,100020.76615359781
2024-05-13,100021.22199169808
2024-05-14,100021.07785158981
2024-05-15,100021.13126387219
2024-05-16,100018.97923011729
2024-05-17,100019.97041765728
2024-05-20,100020.04813956747
2024-05-21,100020.75518486949
2024-05-22,100020.7686917606
2024-05-23,100022.15175057747
2024-05-24,100022.8651632992
2024-05-28,100021.79898961014
2024-05-29,100022.40867322982
2024-05-30,100024.5937140891
2024-05-31,100024.37690193288
2024-06-03,100023.96342100643
2024-06-04,100025.52156086723
2024-06-05,100025.27271354978
2024-06-06,100026.57277421832
2024-06-07,100025.53891595283
2024-06-10,100025.02613612982
2024-06-11,100022.55563298376
2024-06-12,100022.35917005916
