Pair,Strategy,Period,Sharpe,Total_Return,Max_DD,Win_Rate,Time_Period
EUR,baseline_1d,1,-0.07422531364210455,-0.06217878918280606,-0.2705324842223963,0.4927391086629945,2015-2020
EUR,momentum_1d,1,0.07365960850566335,0.021751359400659087,-0.21625633571435465,0.4912368552829244,2015-2020
EUR,momentum_vix_1d,1,0.04493171517541032,0.005677891323643269,-0.2054209273410137,0.4912368552829244,2015-2020
EUR,baseline_21d,21,-0.01099781239437855,-0.38910388485332137,-4.654967199424495,0.4795144157814871,2015-2020
EUR,value_21d,21,-0.0983868765599341,-0.768301249556115,-4.276395340161845,0.4779969650986343,2015-2020
EUR,value_vix_21d,21,-0.09622771822284369,-0.7436048891184766,-3.8803430759648245,0.4779969650986343,2015-2020
CHF,baseline_1d,1,0.2978305142522096,0.1680394083371839,-0.16448223245843507,0.4787180771156735,2015-2020
CHF,momentum_1d,1,-0.2548431839670895,-0.16018587956797015,-0.3067859317093262,0.4897346019028543,2015-2020
CHF,momentum_vix_1d,1,-0.32380091138899364,-0.1835649963894309,-0.31793873825317287,0.4897346019028543,2015-2020
CHF,baseline_21d,21,0.39054379133209394,65.22067117964322,-2.3550773039239017,0.5240263024785028,2015-2020
CHF,value_21d,21,0.3700208289786228,51.022582352436864,-2.2834941830136724,0.5599393019726859,2015-2020
CHF,value_vix_21d,21,0.3756433160158636,55.26058181695966,-2.094058774943005,0.5599393019726859,2015-2020
EUR,baseline_1d,1,0.5263398673173726,0.11237612051363799,-0.1068543146773211,0.4885290148448043,2020-2025
EUR,momentum_1d,1,-0.4037964691432824,-0.09147829636610083,-0.14302625703866445,0.47233468286099867,2020-2025
EUR,momentum_vix_1d,1,-0.49838356530848366,-0.11169383787680365,-0.14546108250513687,0.47233468286099867,2020-2025
EUR,baseline_21d,21,0.5278401943265844,6.298133913637171,-1.462650530130817,0.5520110957004161,2020-2025
EUR,value_21d,21,0.2739672525024792,1.6490212381182379,-1.691938142075783,0.5187239944521498,2020-2025
EUR,value_vix_21d,21,0.27926944025120565,1.773688496758297,-1.6527110743751685,0.5187239944521498,2020-2025
CHF,baseline_1d,1,0.7113377295266419,0.1756671076749703,-0.09322508957267395,0.4864864864864865,2020-2025
CHF,momentum_1d,1,0.1758207844322617,0.03311923962310481,-0.10684653831022439,0.49324324324324326,2020-2025
CHF,momentum_vix_1d,1,0.06334085107066775,0.005441340136905115,-0.12499461648703947,0.49324324324324326,2020-2025
CHF,baseline_21d,21,0.7362613063154952,25.06214972378089,-1.4622805985704592,0.5486111111111112,2020-2025
CHF,value_21d,21,0.11544549313320697,0.4372211447169223,-1.7739954903079083,0.5291666666666667,2020-2025
CHF,value_vix_21d,21,0.0935969565769966,0.29797640207327913,-1.9665236730726678,0.5291666666666667,2020-2025
EUR,baseline_1d,1,-0.07422531364210455,-0.06217878918280606,-0.2705324842223963,0.4927391086629945,Full (2015-2025)
EUR,momentum_1d,1,0.07365960850566335,0.021751359400659087,-0.21625633571435465,0.4912368552829244,Full (2015-2025)
EUR,momentum_vix_1d,1,0.04493171517541032,0.005677891323643269,-0.2054209273410137,0.4912368552829244,Full (2015-2025)
EUR,baseline_21d,21,-0.01099781239437855,-0.38910388485332137,-4.654967199424495,0.4795144157814871,Full (2015-2025)
EUR,value_21d,21,-0.0983868765599341,-0.768301249556115,-4.276395340161845,0.4779969650986343,Full (2015-2025)
EUR,value_vix_21d,21,-0.09622771822284369,-0.7436048891184766,-3.8803430759648245,0.4779969650986343,Full (2015-2025)
CHF,baseline_1d,1,0.29787159761966214,0.16806829754655994,-0.16448223245843507,0.4787180771156735,Full (2015-2025)
CHF,momentum_1d,1,-0.2548011841525777,-0.1601651083801241,-0.3067859317093262,0.4897346019028543,Full (2015-2025)
CHF,momentum_vix_1d,1,-0.3237563237925141,-0.1835448034390964,-0.31793873825317287,0.4897346019028543,Full (2015-2025)
CHF,baseline_21d,21,0.3905459748924853,65.22230902064506,-2.3550773039239017,0.5240263024785028,Full (2015-2025)
CHF,value_21d,21,0.3700188072000139,51.021314030039875,-2.2834941830136724,0.5599393019726859,Full (2015-2025)
CHF,value_vix_21d,21,0.37564130164022375,55.25921017117125,-2.094058774943005,0.5599393019726859,Full (2015-2025)
