,0
2018-01-01,100000.0
2018-01-02,99995.00305525245
2018-01-03,100022.15078594124
2018-01-04,100031.87927184862
2018-01-05,100019.8865401347
2018-01-06,100003.86027177374
2018-01-07,100053.55488618586
2018-01-08,100093.98240278268
2018-01-09,100075.71599072922
2018-01-10,100113.22778131266
2018-01-11,100079.66461019371
2018-01-12,100051.28889261061
2018-01-13,100060.08991712648
2018-01-14,100006.99850818442
2018-01-15,99993.8734929912
2018-01-16,99996.83861927725
2018-01-17,99998.1554935309
2018-01-18,99956.4538057397
2018-01-19,99961.1753953056
2018-01-20,99963.26246784492
2018-01-21,99943.44977704772
2018-01-22,99946.4124157142
2018-01-23,99956.7535158155
2018-01-24,99974.42220477502
2018-01-25,99988.00440651547
2018-01-26,99983.99151069955
2018-01-27,100031.98224769167
2018-01-28,100047.9692207292
2018-01-29,100050.8631150729
2018-01-30,100023.58953377158
2018-01-31,100041.97818148247
2018-02-01,99936.18738081736
2018-02-02,99935.01294827927
2018-02-03,99992.50708534538
2018-02-04,99949.41361428969
2018-02-05,99980.66856405528
2018-02-06,99977.3544644903
2018-02-07,100044.53745223166
2018-02-08,100000.73473017215
2018-02-09,99985.91321048373
2018-02-10,99968.83267826549
2018-02-11,99977.96050883844
2018-02-12,99974.99360500705
2018-02-13,99966.9683559938
2018-02-14,99998.29478173463
2018-02-15,100020.00384959829
2018-02-16,100044.40065213195
2018-02-17,100023.77019111253
2018-02-18,100021.0134982155
2018-02-19,100071.25490306599
2018-02-20,100127.11304574295
2018-02-21,100104.75258816568
2018-02-22,100081.58521485
2018-02-23,100049.03283083878
2018-02-24,100037.55037973906
2018-02-25,100023.95516364335
2018-02-26,100039.36717262884
2018-02-27,100028.89698780645
2018-02-28,100006.32906057817
2018-03-01,100013.62486538035
2018-03-02,100011.89598209842
2018-03-03,100005.59422941101
2018-03-04,99993.48793625437
2018-03-05,99999.20120569573
2018-03-06,99979.51504469183
2018-03-07,99963.29481835688
2018-03-08,99966.2849702272
2018-03-09,99973.76323243097
2018-03-10,99962.23066978427
2018-03-11,99982.12707242301
2018-03-12,99999.62383490484
2018-03-13,100004.24540710716
2018-03-14,99986.97548980868
2018-03-15,100024.51727930686
2018-03-16,99966.30617106668
2018-03-17,99983.05849074591
2018-03-18,99994.67665338205
2018-03-19,100049.95561515712
2018-03-20,100095.76414771269
2018-03-21,100079.199991508
2018-03-22,100117.82912575551
2018-03-23,100068.1308205791
2018-03-24,100088.2775190641
2018-03-25,100162.68542017596
2018-03-26,100144.90919322781
2018-03-27,100104.92415746723
2018-03-28,100090.18574645366
2018-03-29,100059.27081650635
2018-03-30,100040.50359128624
2018-03-31,100035.51947580754
2018-04-01,100012.34807093053
2018-04-02,100016.65678102135
2018-04-03,100013.64158741562
2018-04-04,100007.75925589891
2018-04-05,100018.08286157038
2018-04-06,100041.83751180071
2018-04-07,100051.2121895764
2018-04-08,100039.05597017163
2018-04-09,100048.09355982544
2018-04-10,100042.26432713545
2018-04-11,100052.85920200193
2018-04-12,100055.66248149138
2018-04-13,100056.61926529156
2018-04-14,100059.97973699524
2018-04-15,100065.1423120928
2018-04-16,100048.59164942711
2018-04-17,100032.78183005024
2018-04-18,100026.84062332188
2018-04-19,100033.56671752008
2018-04-20,100027.48732533219
2018-04-21,100037.22944778063
2018-04-22,100035.00264324425
2018-04-23,100036.49656864352
2018-04-24,99983.10082616954
2018-04-25,99984.15621928708
2018-04-26,99984.16402626295
2018-04-27,99983.70627779538
2018-04-28,99983.08418569402
2018-04-29,100003.84255951583
2018-04-30,99998.13150933894
2018-05-01,100032.59973635258
2018-05-02,100022.38022491038
2018-05-03,100044.06323300858
2018-05-04,99999.19594841388
2018-05-05,100015.36511075305
2018-05-06,100066.88709980955
2018-05-07,100022.08336123981
2018-05-08,100001.74364036636
2018-05-09,99998.4933983512
2018-05-10,99984.62225455564
2018-05-11,99980.24180936484
2018-05-12,99967.01217574527
2018-05-13,99948.51681030563
2018-05-14,99961.09501328942
2018-05-15,99956.00713648225
2018-05-16,99948.66341323477
2018-05-17,99948.62990293009
2018-05-18,99942.88618215847
2018-05-19,99919.22273405342
2018-05-20,99908.53109752263
2018-05-21,99895.58421351916
2018-05-22,99887.25181264804
2018-05-23,99910.44180823315
2018-05-24,99915.52447062483
2018-05-25,99933.3312271795
2018-05-26,99971.3552090319
2018-05-27,100010.10274768238
2018-05-28,100045.92941387348
2018-05-29,100071.3597846894
2018-05-30,100072.23158175962
2018-05-31,100069.49875393516
2018-06-01,100053.13085677553
2018-06-02,100119.74468481183
2018-06-03,100082.76803577408
2018-06-04,100140.33155037492
2018-06-05,100167.44041514391
2018-06-06,100092.07835142784
2018-06-07,100109.36499037857
2018-06-08,100003.79961370364
2018-06-09,100028.5902352332
2018-06-10,100059.11090240545
2018-06-11,100041.0517460994
2018-06-12,100050.59968744108
2018-06-13,100115.57309947892
2018-06-14,100103.89918562291
2018-06-15,100073.62782267336
2018-06-16,100118.24126582028
2018-06-17,100181.47036520457
2018-06-18,100176.47714916465
2018-06-19,100180.58807074462
2018-06-20,100193.49019165819
2018-06-21,100157.5060162673
2018-06-22,100144.36438908862
2018-06-23,100180.66086376912
2018-06-24,100226.73442622669
2018-06-25,100260.82692897845
2018-06-26,100234.74020167389
2018-06-27,100316.72169992758
2018-06-28,100291.46799732826
2018-06-29,100326.17490023356
2018-06-30,100363.25061132787
2018-07-01,100401.04667200474
2018-07-02,100404.27537270222
2018-07-03,100439.27191388865
2018-07-04,100459.58534476144
2018-07-05,100481.09526721245
2018-07-06,100520.87149944436
2018-07-07,100380.83648736059
2018-07-08,100352.75966581205
2018-07-09,100346.19285864555
2018-07-10,100311.2977458347
2018-07-11,100323.85794948827
2018-07-12,100323.77248793833
2018-07-13,100335.20399735052
2018-07-14,100381.78141802756
2018-07-15,100373.15045199405
2018-07-16,100360.24866609056
2018-07-17,100360.02711299135
2018-07-18,100351.48347340162
2018-07-19,100354.67554493215
2018-07-20,100343.14732991764
2018-07-21,100321.93438752308
2018-07-22,100308.54006573057
2018-07-23,100301.94367030798
2018-07-24,100298.73057345023
2018-07-25,100299.26044227599
2018-07-26,100296.64270928499
2018-07-27,100289.89572138496
2018-07-28,100278.63039048163
2018-07-29,100251.88147961472
2018-07-30,100263.44147766284
2018-07-31,100284.56333639458
2018-08-01,100310.5991503868
2018-08-02,100328.5088917678
2018-08-03,100312.50878342336
2018-08-04,100340.11097441477
2018-08-05,100325.48376147664
2018-08-06,100324.77862366283
2018-08-07,100312.1784744242
2018-08-08,100319.26982666044
2018-08-09,100399.49417368934
2018-08-10,100311.88523455714
2018-08-11,100331.73537431864
2018-08-12,100263.41600796563
2018-08-13,100254.9330319567
2018-08-14,100291.60484408728
2018-08-15,100307.83021006957
2018-08-16,100280.31812043508
2018-08-17,100267.3162787064
2018-08-18,100301.44202340515
2018-08-19,100323.17000629383
2018-08-20,100339.97950583945
2018-08-21,100332.28799170237
2018-08-22,100310.86410068146
2018-08-23,100310.40386443742
2018-08-24,100322.81892348075
2018-08-25,100349.45886230154
2018-08-26,100347.9622480897
2018-08-27,100376.87937054099
2018-08-28,100351.44989520122
2018-08-29,100402.593363492
2018-08-30,100415.018246155
2018-08-31,100395.43267281656
2018-09-01,100383.41112420753
2018-09-02,100295.31206378022
