,0
2018-01-01,100000.0
2018-01-02,99999.56412309043
2018-01-03,100002.05289891352
2018-01-04,100002.25633161841
2018-01-05,100001.18231058748
2018-01-06,99999.67495771225
2018-01-07,100003.91793052951
2018-01-08,100007.5549295501
2018-01-09,100005.9808087481
2018-01-10,100009.48680774732
2018-01-11,100006.32182897971
2018-01-12,100003.66565532913
2018-01-13,100004.43670251951
2018-01-14,99999.94542280762
2018-01-15,99999.28165658523
2018-01-16,99999.76013508739
2018-01-17,100000.18068930069
2018-01-18,99997.57960266837
2018-01-19,99997.83250103475
2018-01-20,99998.40108246142
2018-01-21,99996.05916988004
2018-01-22,99996.53092515166
2018-01-23,99998.14459543489
2018-01-24,100000.40099682937
2018-01-25,100002.02968064522
2018-01-26,100001.5947495859
2018-01-27,100006.65078339477
2018-01-28,100008.23534794952
2018-01-29,100008.14548136965
2018-01-30,100004.6885929565
2018-01-31,100006.5434821197
2018-02-01,99995.48435493189
2018-02-02,99995.31710091943
2018-02-03,100001.27990056024
2018-02-04,99996.83499376333
2018-02-05,99999.95204626475
2018-02-06,99999.8503124914
2018-02-07,100009.366499704
2018-02-08,99995.98107682774
2018-02-09,99992.49249281107
2018-02-10,99990.65270123033
2018-02-11,99991.54787087943
2018-02-12,99990.379753845
2018-02-13,99986.76471806513
2018-02-14,99990.65825472548
2018-02-15,99992.33417986958
2018-02-16,99994.43321178632
2018-02-17,99992.19606485285
2018-02-18,99991.84813702476
2018-02-19,99997.29380170906
2018-02-20,100004.62242946685
2018-02-21,100001.91077412685
2018-02-22,99998.9663399004
2018-02-23,99995.00584984616
2018-02-24,99993.70651703166
2018-02-25,99992.148993658
2018-02-26,99993.83475437478
2018-02-27,99992.53664983768
2018-02-28,99990.03751560849
2018-03-01,99990.31421645802
2018-03-02,99990.24474823834
2018-03-03,99989.65089913202
2018-03-04,99988.7028437867
2018-03-05,99989.49145300609
2018-03-06,99987.18057984443
2018-03-07,99985.01430430418
2018-03-08,99984.91241962275
2018-03-09,99985.01213626134
2018-03-10,99983.69785796407
2018-03-11,99985.94428372764
2018-03-12,99987.27074730962
2018-03-13,99987.00572255513
2018-03-14,99985.44161142698
2018-03-15,99988.192699735
2018-03-16,99983.53951217054
2018-03-17,99984.91747275513
2018-03-18,99986.06191278872
2018-03-19,99991.79713157832
2018-03-20,99996.36379487484
2018-03-21,99995.4636991548
2018-03-22,100000.31321945738
2018-03-23,99993.60039904709
2018-03-24,99995.18207048619
2018-03-25,100002.95192334711
2018-03-26,100001.19341161665
2018-03-27,99996.3879191491
2018-03-28,99994.193516673
2018-03-29,99990.40313627124
2018-03-30,99988.67000045741
