,0
2018-01-01,100000.0
2018-01-02,99999.3239931555
2018-01-03,100003.1707236602
2018-01-04,100004.13658648143
2018-01-05,100002.50686109634
2018-01-06,100000.2580993002
2018-01-07,100007.0193847352
2018-01-08,100012.55914348514
2018-01-09,100010.11168728113
2018-01-10,100015.36573279028
2018-01-11,100010.64812003178
2018-01-12,100006.65646855973
2018-01-13,100007.87142442478
2018-01-14,100000.62328194824
2018-01-15,99998.92589525995
2018-01-16,99999.3701590109
2018-01-17,99999.55473268236
2018-01-18,99993.49765479456
2018-01-19,99994.15227006939
2018-01-20,99994.3524911223
2018-01-21,99991.65705651525
2018-01-22,99992.07529262561
2018-01-23,99993.5895619407
2018-01-24,99996.04476189199
2018-01-25,99997.93557836775
2018-01-26,99997.38266586619
2018-01-27,100004.10783126863
2018-01-28,100006.54351241776
2018-01-29,100006.77885328991
2018-01-30,100002.70242113122
2018-01-31,100005.16728649879
2018-02-01,99990.52309298016
2018-02-02,99990.35301903341
2018-02-03,99998.41438483734
2018-02-04,99992.43272276665
2018-02-05,99996.69111006153
2018-02-06,99996.25900229544
2018-02-07,100005.66911426013
2018-02-08,99998.98306763898
2018-02-09,99996.88714717717
2018-02-10,99994.58990453953
2018-02-11,99995.9512252462
2018-02-12,99995.49730088393
2018-02-13,99994.26705830538
2018-02-14,99998.49539420301
2018-02-15,100001.49532754227
2018-02-16,100004.94386455491
2018-02-17,100002.21852814108
2018-02-18,100001.87944178819
2018-02-19,100008.89387249165
2018-02-20,100017.10789384629
2018-02-21,100013.77720811115
2018-02-22,100010.27736155025
2018-02-23,100005.71546520776
2018-02-24,100004.31854748288
2018-02-25,100002.50900941575
2018-02-26,100004.6094097922
2018-02-27,100003.0367787549
2018-02-28,99999.81198224516
2018-03-01,100000.96506262009
2018-03-02,100000.71341806078
2018-03-03,99999.79086279335
2018-03-04,99997.95849746614
2018-03-05,99998.65681400988
2018-03-06,99995.91853295546
2018-03-07,99993.70970238904
2018-03-08,99994.14531789804
2018-03-09,99995.20842797824
2018-03-10,99993.49658936713
2018-03-11,99996.43049903357
2018-03-12,99998.9730573267
2018-03-13,99999.48879209023
2018-03-14,99996.97560910728
2018-03-15,100002.1866018853
2018-03-16,99994.36232776655
2018-03-17,99996.69878218022
2018-03-18,99998.37937037817
2018-03-19,100006.45609234703
2018-03-20,100013.11913487411
2018-03-21,100010.94143017173
2018-03-22,100016.57555615953
2018-03-23,100009.34117128525
2018-03-24,100012.256544938
2018-03-25,100023.13822938994
2018-03-26,100020.62918182688
2018-03-27,100014.85985963434
2018-03-28,100012.65077670192
2018-03-29,100008.12944253124
2018-03-30,100005.42806446458
2018-03-31,100004.69998797386
2018-04-01,100001.32288732141
2018-04-02,100001.9121671915
2018-04-03,100001.51614066162
2018-04-04,100000.65112690997
2018-04-05,100002.14118041762
2018-04-06,100005.43580018522
2018-04-07,100006.82327634859
2018-04-08,100005.0770845059
2018-04-09,100006.39564907328
2018-04-10,100005.53086959866
2018-04-11,100006.95717697815
2018-04-12,100007.34089216667
2018-04-13,100007.45774257672
2018-04-14,100007.87121398923
2018-04-15,100008.59631070957
2018-04-16,100006.2577116005
2018-04-17,100004.19232220751
2018-04-18,100003.33252281183
2018-04-19,100004.32887625316
2018-04-20,100003.43951163649
2018-04-21,100004.77416027519
2018-04-22,100004.44833218367
2018-04-23,100004.67721344894
2018-04-24,99997.34884609774
2018-04-25,99997.49269445013
2018-04-26,99997.51006955716
2018-04-27,99997.44295737136
2018-04-28,99997.39052691647
2018-04-29,100000.44366234605
2018-04-30,99999.60390171551
2018-05-01,100004.59353905974
2018-05-02,100003.176310259
2018-05-03,100006.19288372564
2018-05-04,99999.89503718106
2018-05-05,100002.171829294
2018-05-06,100009.26809583054
2018-05-07,100003.01186195338
2018-05-08,100000.17147946867
2018-05-09,99999.68323387155
2018-05-10,99997.72248960834
2018-05-11,99997.22751880687
2018-05-12,99995.29717639524
2018-05-13,99992.72151601636
2018-05-14,99994.5183429155
