DAY_DATE,DIRECTION,SPX_TR,,
1/3/00,FWD,-0.0383,,
1/4/00,FWD,0.002,,
1/5/00,FWD,0.0012,,
1/6/00,FWD,0.0271,,
1/7/00,FWD,0.0112,,
1/10/00,FWD,-0.013,,
1/11/00,FWD,-0.0043,,
1/12/00,FWD,0.0122,,
1/13/00,FWD,0.0107,,
1/14/00,FWD,-0.0068,,
1/18/00,FWD,0.0006,,
1/19/00,FWD,-0.0071,,
1/20/00,FWD,-0.0029,,
1/21/00,FWD,-0.0276,,
1/24/00,FWD,0.0061,,
1/25/00,FWD,-0.0042,,
1/26/00,FWD,-0.0039,,
1/27/00,FWD,-0.0274,,
1/28/00,FWD,0.0252,,
1/31/00,FWD,0.0106,,
2/1/00,FWD,0,,
2/2/00,FWD,0.0113,,
2/3/00,FWD,-0.0004,,
2/4/00,FWD,-0.0001,,
2/7/00,FWD,0.0123,,
2/8/00,FWD,-0.0206,,
2/9/00,FWD,0.0036,,
2/10/00,FWD,-0.0209,,
2/11/00,FWD,0.0021,,
2/14/00,FWD,0.0087,,
2/15/00,FWD,-0.0101,,
2/16/00,FWD,0.0004,,
2/17/00,FWD,-0.0304,,
2/18/00,FWD,0.0045,,
2/22/00,FWD,0.0064,,
2/23/00,FWD,-0.0053,,
2/24/00,FWD,-0.0147,,
2/25/00,FWD,0.0111,,
2/28/00,FWD,0.0136,,
2/29/00,FWD,0.0096,,
3/1/00,FWD,0.0019,,
3/2/00,FWD,0.0198,,
3/3/00,FWD,-0.0126,,
3/6/00,FWD,-0.0256,,
3/7/00,FWD,0.0083,,
3/8/00,FWD,0.0256,,
3/9/00,FWD,-0.0047,,
3/10/00,FWD,-0.0081,,
3/13/00,FWD,-0.0177,,
3/14/00,FWD,0.0243,,
3/15/00,FWD,0.0478,,
3/16/00,FWD,0.0041,,
3/17/00,FWD,-0.0053,,
3/20/00,FWD,0.0256,,
3/21/00,FWD,0.0045,,
3/22/00,FWD,0.0178,,
3/23/00,FWD,0.0001,,
3/24/00,FWD,-0.0024,,
3/27/00,FWD,-0.0106,,
3/28/00,FWD,0.0007,,
3/29/00,FWD,-0.0136,,
3/30/00,FWD,0.0072,,
3/31/00,FWD,0.0049,,
4/3/00,FWD,-0.0074,,
4/4/00,FWD,-0.0049,,
4/5/00,FWD,0.0096,,
4/6/00,FWD,0.01,,
4/7/00,FWD,-0.0078,,
