DAY_DATE,AUD_EXCH_RATE,BRL_EXCH_RATE,CAD_EXCH_RATE,CHF_EXCH_RATE,EUR_EXCH_RATE,GBP_EXCH_RATE,JPY_EXCH_RATE,MXN_EXCH_RATE,USD_EXCH_RATE
1/1/00,1.517220452,1.807,1.4465,1.5808,0.9844,0.61462815,101.7,9.402,1
1/2/00,1.517220452,1.807,1.4465,1.5808,0.9844,0.61462815,101.7,9.402,1
1/3/00,1.517220452,1.807,1.4465,1.5808,0.9844,0.61462815,101.7,9.402,1
1/4/00,1.523925632,1.815,1.4518,1.5565,0.9698,0.610873549,103.09,9.457,1
1/5/00,1.526717557,1.85,1.4518,1.5526,0.9681,0.609198903,103.77,9.535,1
1/6/00,1.529051988,1.852,1.4571,1.554,0.9683,0.606980273,105.19,9.567,1
1/7/00,1.527183873,1.842,1.4505,1.5623,0.971,0.610351563,105.17,9.52,1
1/8/00,1.527183873,1.842,1.4505,1.5623,0.971,0.610351563,105.17,9.52,1
1/9/00,1.527183873,1.842,1.4505,1.5623,0.971,0.610351563,105.17,9.52,1
1/10/00,1.524157903,1.829,1.4568,1.5704,0.9756,0.610724319,105.28,9.445,1
1/11/00,1.520912548,1.815,1.457,1.5605,0.9684,0.606796117,106.09,9.483,1
1/12/00,1.520218912,1.823,1.455,1.566,0.9724,0.607348922,105.76,9.515,1
1/13/00,1.495438911,1.829,1.4495,1.5707,0.9734,0.606722485,106.09,9.51,1
1/14/00,1.500375094,1.813,1.4497,1.5945,0.9871,0.611508592,105.86,9.455,1
1/15/00,1.500375094,1.813,1.4497,1.5945,0.9871,0.611508592,105.86,9.455,1
1/16/00,1.500375094,1.813,1.4497,1.5945,0.9871,0.611508592,105.86,9.455,1
1/17/00,1.500375094,1.805,1.4497,1.5945,0.9908,0.611508592,105.86,9.455,1
1/18/00,1.506024096,1.794,1.4502,1.5942,0.9875,0.610500611,105.49,9.441,1
1/19/00,1.507386192,1.793,1.4527,1.5965,0.988,0.608346514,105.39,9.418,1
1/20/00,1.500150015,1.792,1.4484,1.5915,0.9869,0.604668037,105.45,9.408,1
1/21/00,1.510345869,1.784,1.442,1.5973,0.99,0.605913718,104.96,9.447,1
1/22/00,1.510345869,1.784,1.442,1.5973,0.99,0.605913718,104.96,9.447,1
1/23/00,1.510345869,1.784,1.442,1.5973,0.99,0.605913718,104.96,9.447,1
1/24/00,1.528117359,1.773,1.44,1.609,0.9977,0.605326877,105.52,9.485,1
1/25/00,1.528584531,1.773,1.4389,1.6085,0.9952,0.606722485,105.87,9.525,1
1/26/00,1.537279016,1.777,1.4379,1.6102,0.9989,0.609942056,105.85,9.518,1
1/27/00,1.526717557,1.779,1.435,1.6317,1.0109,0.611134877,104.91,9.52,1
1/28/00,1.596169194,1.78,1.4495,1.6485,1.0233,0.616903146,107.15,9.581,1
1/29/00,1.596169194,1.78,1.4495,1.6485,1.0233,0.616903146,107.15,9.581,1
1/30/00,1.596169194,1.78,1.4495,1.6485,1.0233,0.616903146,107.15,9.581,1
1/31/00,1.566906926,1.798,1.4517,1.6495,1.0243,0.617970585,107.33,9.64,1
2/1/00,1.583531275,1.785,1.4468,1.654,1.0274,0.619195046,107.67,9.597,1
2/2/00,1.572327044,1.79,1.4435,1.6502,1.0233,0.622665006,108.4,9.575,1
2/3/00,1.565680288,1.786,1.4417,1.6255,1.0118,0.624024961,107.92,9.51,1
2/4/00,1.583531275,1.785,1.4467,1.647,1.0244,0.628338046,107.54,9.481,1
2/5/00,1.583531275,1.785,1.4467,1.647,1.0244,0.628338046,107.54,9.481,1
2/6/00,1.583531275,1.785,1.4467,1.647,1.0244,0.628338046,107.54,9.481,1
2/7/00,1.577535889,1.77,1.4457,1.6426,1.0216,0.628259094,108.75,9.436,1
2/8/00,1.574059499,1.769,1.4473,1.6301,1.0137,0.620925179,109.59,9.402,1
2/9/00,1.576044129,1.766,1.4443,1.6232,1.008,0.62053987,109.11,9.399,1
2/10/00,1.582278481,1.769,1.45,1.628,1.0137,0.622781341,108.74,9.437,1
2/11/00,1.591849729,1.767,1.4515,1.6305,1.0153,0.628022358,108.99,9.423,1
2/12/00,1.591849729,1.767,1.4515,1.6305,1.0153,0.628022358,108.99,9.423,1
2/13/00,1.591849729,1.767,1.4515,1.6305,1.0153,0.628022358,108.99,9.423,1
2/14/00,1.592610288,1.773,1.4547,1.6435,1.022,0.629326621,108.65,9.393,1
2/15/00,1.587301587,1.774,1.4585,1.633,1.0167,0.626959248,108.75,9.388,1
2/16/00,1.587049675,1.777,1.452,1.6302,1.0157,0.623441397,109.38,9.372,1
2/17/00,1.582278481,1.775,1.4522,1.6274,1.0138,0.62305296,110.27,9.398,1
2/18/00,1.589319771,1.773,1.4512,1.6282,1.0151,0.625625626,110.88,9.354,1
2/19/00,1.589319771,1.773,1.4512,1.6282,1.0151,0.625625626,110.88,9.354,1
2/20/00,1.589319771,1.773,1.4512,1.6282,1.0151,0.625625626,110.88,9.354,1
2/21/00,1.589319771,1.78,1.4512,1.6282,1.0133,0.625625626,110.88,9.354,1
2/22/00,1.598210005,1.779,1.4595,1.5983,0.9933,0.618620476,111.04,9.427,1
2/23/00,1.61394448,1.786,1.4651,1.6082,0.9979,0.62316944,111.11,9.413,1
2/24/00,1.627604167,1.784,1.4587,1.62,1.0064,0.62574307,110.95,9.382,1
2/25/00,1.619433198,1.778,1.4505,1.6475,1.0232,0.628614534,110.98,9.378,1
2/26/00,1.619433198,1.778,1.4505,1.6475,1.0232,0.628614534,110.98,9.378,1
2/27/00,1.619433198,1.778,1.4505,1.6475,1.0232,0.628614534,110.98,9.378,1
2/28/00,1.635055592,1.776,1.4538,1.6615,1.0332,0.62754942,109.17,9.403,1
2/29/00,1.62469537,1.778,1.4505,1.6665,1.0363,0.633713561,109.88,9.365,1
3/1/00,1.648261085,1.769,1.447,1.6568,1.0293,0.630954634,107.1,9.363,1
3/2/00,1.645548791,1.763,1.4543,1.6714,1.0262,0.634316524,107.37,9.341,1
3/3/00,1.644195988,1.758,1.451,1.6712,1.0352,0.632511069,107.8,9.315,1
3/4/00,1.644195988,1.758,1.451,1.6712,1.0352,0.632511069,107.8,9.315,1
3/5/00,1.644195988,1.758,1.451,1.6712,1.0352,0.632511069,107.8,9.315,1
3/6/00,1.662234043,1.747,1.4555,1.675,1.0377,0.635647089,107.74,9.318,1
3/7/00,1.657000829,1.747,1.4527,1.681,1.0411,0.634034999,106.2,9.285,1
3/8/00,1.64095832,1.747,1.4592,1.677,1.0417,0.630715863,106.89,9.272,1
3/9/00,1.62469537,1.742,1.457,1.6595,1.04,0.632311097,106.45,9.293,1
3/10/00,1.629726206,1.743,1.4575,1.6661,1.0334,0.63319192,106.27,9.318,1
3/11/00,1.629726206,1.743,1.4575,1.6661,1.0334,0.63319192,106.27,9.318,1
3/12/00,1.629726206,1.743,1.4575,1.6661,1.0334,0.63319192,106.27,9.318,1
3/13/00,1.622060016,1.748,1.4614,1.6702,1.0283,0.633633253,105.32,9.313,1
3/14/00,1.628664495,1.745,1.4632,1.6715,1.0373,0.635930048,104.85,9.319,1
3/15/00,1.632653061,1.739,1.468,1.6618,1.0315,0.635727908,105.58,9.337,1
3/16/00,1.637465204,1.741,1.4724,1.6593,1.0306,0.635041595,105.63,9.325,1
3/17/00,1.648261085,1.739,1.4728,1.662,1.0315,0.636739892,106.1,9.322,1
3/18/00,1.648261085,1.739,1.4728,1.662,1.0315,0.636739892,106.1,9.322,1
3/19/00,1.648261085,1.739,1.4728,1.662,1.0315,0.636739892,106.1,9.322,1
3/20/00,1.648804617,1.741,1.4703,1.6605,1.0277,0.637511156,106.5,9.321,1
3/21/00,1.639344262,1.738,1.4662,1.6615,1.0288,0.635930048,106.91,9.3,1
3/22/00,1.651254954,1.7362,1.472,1.675,1.0403,0.636739892,106.77,9.275,1
3/23/00,1.655355074,1.73,1.4727,1.6522,1.0384,0.631711939,107.45,9.238,1
3/24/00,1.649076517,1.721,1.465,1.6333,1.0288,0.628535512,107.25,9.188,1
3/25/00,1.649076517,1.721,1.465,1.6333,1.0288,0.628535512,107.25,9.188,1
3/26/00,1.649076517,1.721,1.465,1.6333,1.0288,0.628535512,107.25,9.188,1
3/27/00,1.635590448,1.736,1.4605,1.6468,1.0235,0.630715863,107.13,9.183,1
3/28/00,1.628399284,1.746,1.4541,1.6551,1.0349,0.630040323,105.9,9.184,1
3/29/00,1.63291966,1.743,1.4555,1.6725,1.0449,0.630119723,105.6,9.235,1
3/30/00,1.632653061,1.7445,1.4557,1.6605,1.0449,0.628061801,105.53,9.306,1
3/31/00,1.649620587,1.749,1.4538,1.663,1.0449,0.628061801,102.73,9.29,1
4/1/00,1.649620587,1.749,1.4538,1.663,1.0449,0.628061801,102.73,9.29,1
4/2/00,1.649620587,1.749,1.4538,1.663,1.0449,0.628061801,102.73,9.29,1
4/3/00,1.646632636,1.734,1.4548,1.6587,1.0509,0.625782228,104.82,9.29,1
4/4/00,1.657824934,1.743,1.4531,1.65,1.0469,0.626370185,105.33,9.312,1
4/5/00,1.652073352,1.746,1.4548,1.633,1.0377,0.628930818,105,9.395,1
4/6/00,1.662234043,1.7509,1.4515,1.639,1.0373,0.632911392,104.78,9.364,1
4/7/00,1.66583375,1.747,1.4574,1.6383,1.0417,0.631711939,105.33,9.322,1
4/8/00,1.66583375,1.747,1.4574,1.6383,1.0417,0.631711939,105.33,9.322,1
4/9/00,1.66583375,1.747,1.4574,1.6383,1.0417,0.631711939,105.33,9.322,1
4/10/00,1.669170422,1.743,1.4615,1.6435,1.0438,0.631791761,106.37,9.29,1
4/11/00,1.678697331,1.743,1.4635,1.6415,1.0384,0.63000063,106.95,9.366,1
4/12/00,1.675041876,1.744,1.4623,1.649,1.0436,0.629643622,105.86,9.397,1
4/13/00,1.677008217,1.7562,1.4661,1.652,1.0438,0.629683269,105.76,9.399,1
4/14/00,1.674480911,1.763,1.4767,1.6408,1.0455,0.630517024,105.12,9.501,1
4/15/00,1.674480911,1.763,1.4767,1.6408,1.0455,0.630517024,105.12,9.501,1
